Slide	Section 	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14
48	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	4	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	7	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	8	0	0	0	0	0	0	0	0	0	0	0	0	0	
53	1	D	U	0	0	0	0	0	0	0	U	U	U	D	
53	2	D	U	0	0	0	0	0	0	U	0	0	D		
53	3	D	U	0	0	0	0	0	0	U	U	D			
53	4	D	D	U	0	0	0	0	0	U	0	0	U	U	0
53	5	U	0	I	0	0	0	0	0	0	0	U			
53	6	0	U	I	I	0	0	0	0	U	D				
53	7	U	0	0	U	0	0	0	0	U	D				
53	8	U	U	I	U	0	0	0	0	U	U	0	U		
58	1	U	U	I	I										
