Slide	Section 	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14	IL 15
33	1	0	IL 2	IL 3	0	0	0	0	0	0	0	0	U	U		
33	2	0	IL 2	IL 3	0	0	0	0	0	0	0	0	U	U		
33	3	0	IL 2	IL 3	0	0	0	0	0	0	0	0	U	0		
33	4	0	IL 2	IL 3	0	0	0	0	0	U	0	0	U	U		
33	5	0	U	IL 3	0	0	0	0	0	0	0	0	U	0		
33	6	0	0	IL 3	0	0	0	0	0	0	0	0	U	U	0	
33	7	0	0	IL 3	0	0	0	0	0	0	0	0	U	U	0	
33	8	0	IL 2	IL 3	0	0	0	0	0	0	0	0	U	0		
38	1	U		0	0	0	0	0	0	0	0	0	U	U	U	
38	2	U	0	0	I	0	0	0	0	U	0	0	0	0		
38	3	0	0	0	I	0	0	0	0	0	0	0	0	0	U	
38	4	0	0	0	I	0	0	0	0	0	0	0	0	0	0	
38	5	U	U	U	I	0	U	0	0	0	0	U	U	0		
38	6	U	0	0	0	0	0	0	0	0	0	U	0	0	0	
38	7	U	U	U	0		0	0	0	U	0	0	U	0		
38	8	U	0	0	0	0	0	0	U	0	0	0	0	0		
38	9	0	0	0	0	0	0	0	U	0	0	0	0	0		
43	1	0	U	U	U	0	0	0	0	U	0	0	0	U	0	
43	2	0	0	0	I	0	0	0	0	0	0	0	0	U	0	0
43	3	U	0	0	I	0	0	0	0	0	U	0	0	0	0	
43	4	0	0	0	I	0	0	0	0	0	U	U	0	0	0	
43	5	0	U	0	U	0	U	U	0	0	U	0	0	0		
43	6	0	U	0	U	0	0	0	U	0	0	0	0	0		
43	7	0	0	0	U	0	0	0	0	0	0	U	0	U	0	
43	8	U	0	0	0	0	0	0	0	0	0	0	0	U	0	
43	9	0	U	U	U	0	0	0	0	0	0	0	0	0	0	
