Slide	Section 	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11
15	4	X	N	X	X	X	X	X	X	X	X	X
15	8	X	N	X	X	X	X	X	X	X	X	X
16	1	I	0	0	I	0	0	0	0	D		
16	2	U	0	I	U	0	0	0	0	0	0	0
16	3	0	0	I	0	0	0	0	0	U	U	D
16	4	0	0	I	0	0	0	0	0	0	U	0
16	5	0	0	I	0	0	0	0	0	0	U	0
16	6	0	0	I	0	0	0	0	0	D		
16	7	0	0	I	0	0	0	0	D	D		
16	8	0	0	I	0	0	0	0	0	0		
21	1	0	0	0	0	0	0	0	U	0	D	
21	2	0	0	I	0	U	0	0	U	0	0	
21	3	0	0	U	0	U	0	0	0	0	0	0
21	4	U	U	U	U	U	U	U	U	U	U	U
21	5	0	0	0	0	D	0	0	0	0	0	0
21	6	0	0	0	0	0	0	0	0	0	0	
21	7	0	0	0	0	0	0	0	0	0	D	
21	8	0	0	0	0	0	0	U	U	D		
25	3	X	X	X	X	X	O	X	X	X	X	X
25	9	X	X	X	X	X	X	O	X	X	X	X
31	1	0	0	0	0	0	0	0	0	0	0	0
31	2	U	0	0	U	0	0	0	0	0	U	U
31	3	0	0	0	0	0	0	0	0	0	0	
31	4	0	0	0	0	0	0	0	0	0	U	U
31	5	U	U	U	U	U	U	U	U	U	U	U
31	6	U	0	0	U	0	0	0	0	0	D	
31	7	0	U	0	0	0	0	U	0	0	0	
31	8	D	I	0	0	0	U	0	0	0	0	
31	9	D	D	U	U	0	0		0	0		
