Slide	Section 	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11
25	1	0	0	0	0	0	0	D	0	0	U	
25	2	0	0	0	0	0	D	U	0	U		
25	3	D	D	D	D	D	D	D	D	D	D	
25	4	D	D	D	D	D	D	D	D	D	D	
25	5	0	0	0	0	0	0	0	0	0	U	
25	6	0	0	0	0	0	0	0	U	U	U	
25	7	0	0	0	0	0	0	0	U	U		
25	8	0	0	0	0	0	U	D				
41	1	X	N	X	X	X	X	O	X	X	X	
41	8	X	N	X	X	X	X	O	X	X	X	
55	1	D	0	0	0	0	0	0	0	0	U	D
55	2	0	0	0	0	0	0	0	0	0	0	U
55	3	0	0	0	0	0	0	0	0	0	D	
55	4	0	0	0	0	0	0	0	U	U	D	
55	5	D	D	D	D	D	D	D	D	D	D	D
55	6	U	0	0	0	0	0	0	0	0	U	
55	7	U	0	0	0	0	0	0	U	U		
55	8	D	0	0	0	0	0	0	U	D		
55	9	D	0	U	0	0	0	0	0	0	D	
60	1	D	0	0	0	0	0	0	0	U	D	
60	2	D	0	0	0	U	U	U	0	U		
60	3	0	0	0	0	0	0	0	0	0	0	
60	4	D	U	0	0	U	U	U	0	D		
60	5	D	0	0	0	0	0	0	U	D		
60	6	D	0	0	0	D	U	0	U	U		
60	7	D	0	0	0	0	0	0	U			
60	8	D	U	U	U	U	U	U	U			
65	1	D	0	0	0	0	0	0	U			
65	2	0	0	0	0	0	0	0	U	D		
65	3	0	0	0	0	0	0	0	U	D		
65	4	D	0	0	0	0	0	U	U			
65	5	0	U	0	0	0	0	0	U			
65	6	0	0	0	D	0	0	0	U	U		
65	7	0	0	0	0	0	0	U	U			
65	8	0	0	0	0	0	0	0	U			
65	9	0	U	0	0	0	0	0	U			
70	1	D	0	0	0	U	D	D	0	D		
70	2	D	0	0	0	0	0	0	U	D		
70	3	D	U	0	0	0	0	0	U			
70	4	D	U	0	U	U	0	U	U			
70	5	D	0	0	0	U	0	0	D			
70	6	0	0	0	0	U	0	U	U	U		
70	7	U	0	0	0	U	U	0	0	U		
70	8	D	0	0	U	U	0	0	U			
