Slide	Section 	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14
9	1	0	0	0	0	0	0	0	0	0	0				
9	2	0	I	0	0	0	0	0	0	0	0				
9	3	0	I	0	0	0	0	0	0	0	D				
9	4	D	U	0	0	0	0	0	0	0					
9	5	0	0	0	0	0	0	0	0	0					
9	6	0	0	0	0	0	0	D	0	0					
9	7	0	0	0	0	0	U	D	0	0					
9	8	0	U	0	0	0	0	0	0	0	0				
10	1	0	I	I	0	0	0	0	0	0	0				
10	2	0	I	I	0	0	0	0	0	0	0				
10	3	0	I	I	0	0	0	0	0	U	0				
10	4	0	I	I	0	0	0	0	0	0	D				
10	5	0	I	I	0	0	0	0	0	0	0				
10	6	0	I	I	0	0	0	D	U	U	0				
10	7	0	I	I	U	U	0	0	0	0	0				
10	8	I	I	I	0	0	0	0	0	0	0				
14	1	0	0	I	0	0	0	0	0	U	0	0			
14	2	0		0	0	0	0	0	0	0	0	0			
14	3	0	I	I	0	0	0	0	0	0	0	0			
14	4	0	0	I	0	0	0	0	0	0	0	D			
14	5	D	0	0	0	0	0	0	0	0	0	0			
14	6	0	0	0	0	0	0	0	0	0	0	0			
14	7	0	0	I	0	0	0	0	0	0	0	0			
14	8	0	0	I	I	0	0	0	0	0	0	0	0		
19	1	0	0	D	0	0	0	0	0	0	0	0			
19	2	0	I	0	0	0	0	0	0	0	0	0			
19	3	I	I	0	0	0	0	0	0	D	D				
19	4	I	I	0	0	0	0	0	0	0	0	D			
19	5	U	0	0	0	0	0	0	U	0	D				
19	6	D	0	0	0	0	0	0	0	0	0	D			
19	7	I	0	0	0	0	0	0	0	0	0	0			
19	8	I	0	0	0	0	0	0	0	0	0	0			
24	1	0	0	0	0	0	0	0	0	0	0	0	U		
24	2	0	0	0	0	0	0	0	0	0	0	0	D		
24	3	U	I	I	0	0	0	0	0	0	0	U			
24	4	0	0	0	0	0	D	D	U	0	0	0	0		
24	5	D	I	D	0	0	0	0	0	0	0	U			
24	6	I	I	0	0	0	0	0	0	0	0	0	D		
24	7	I	I	0	U	0	0	U	0	0	0	U	D		
24	8	I	I	U	0	0	0	0	0	0	0	0	0		
