Slide	Section 	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12
27	1	0	0	0	0	0	0	0	0	0	0		
27	2	U	0	0	0	0	0	0	0	0	0		
27	3	0	0	0	0	0	0	0	0	0	0	0	
27	4	0	0	0	0	0	U	U	0	0	U	0	
27	5	0	I	I	0	0	0	0	0	0	0	U	
27	6	0	I	I	0	I	0	D	D	U	D		
27	7	0	I	I	0	0	0	0	D	D	U		
27	8	0	0	0	0	0	0	0	0	0	0	0	
37	1	0	I	0	0	0	0	0	0	0	U	0	0
37	2	0	I	0	0	U	D						
37	3	0	I	0	0	U	D						
37	4	0	I	0	0	0	U	U	U	U	U	U	U
37	5	0	0	0	0	0	0	0	0	U	U	U	
37	6	0	0	0	0	0	0	0	0	U	0	D	
37	7												
37	8	0	0	0	0	0	0	0	0	0	0	0	0
42	1	I	0	0	0	0	0	0	0	0	0	0	D
42	2	I	0	0	0	0	0	U	U	D			
42	3	I	0	0	0	0	0	0	0	0	0	0	
42	4	I	0	0	0	0	0	0	0	D			
42	5	U	U	U	U	U	U	U	U	U	U	U	U
42	6	0	0	I	0	0	0	0	0	0	D		
42	7	0	I	0	0	0	0	0	0	0	D		
42	8	0	0	0	0	0	0	0	0	0	U	U	
42	9	0	0	0	I	0	0	0	0	0	0	U	
43	8	X	N	X	X	X	X	X	X	X	X	X	
47	1	0	0	0	0	0	0	0	0	0	0	D	
47	2	0	0	0	0	0	0	0	0	0	0	0	
47	3	0	0	0	0	0	0	0	0	0	0	0	
47	4	0	0	0	0	0	0	0	0	0	0	0	
47	5	0	0	0	0	0	0	0	0	0	0	0	
47	6	0	0	0	0	0	0	0	0	0	0	0	
47	7	0	0	0	0	0	0	0	0	0	0	0	
47	8	0	0	0	0	0	0	0	0	0	0	0	
52	1	I	0	I	0	0	0	0	0	0	0	0	
52	2	0	I	0	I	0	0	0	U	0	U	D	
52	3	0	0	0	0	0	0	0	0	0	0	0	
52	4	0	0	0	0	0	0	0	0	0	0	0	
52	5	0	0	0	0	0	0	0	0	0	0	0	
52	6	0	0	0	0	0	0	0	0	0	0	0	
52	7	0	0	0	0	0	0	0	0	0	0	0	
52	8	0	0	0	0	0	0	0	0	0	0	0	
52	9	0	0	0	0	0	0	0	0	0	0	0	
57	1	0	0	0	0	0	D	D	D	0	U	0	
57	2	D	D	0	0	0	0	0	0	0	0	0	
57	3	0	0	0	0	0	0	0	0	0	0	0	
57	4	0	0	0	0	0	0	0	0	0	0	0	
57	5	0	0	0	0	0	0	0	0	0	0	0	
57	6	0	0	0	0	0	0	0	0	0	0	0	
57	7	0	0	0	0	0	0	0	0	0	0	0	
57	8	0	0	0	0	0	0	0	0	0	0	0	
57	9	0	0	0	0	0	0	0	0	0	0	0	
62	1	0	0	0	0	0	0	0	0	0	0		
62	2	U	O	I	0	0	0	0	0	U			
62	3	D	I	0	0	0	0	0	0	0	U		
62	4	0	0	0	0	0	0	0	0	0	0		
62	5	U	0	0	0	0	0	0	D	0	0		
62	6	D	D	D	0	0	0	0	0	0	D		
62	7	U	I	0	0	0	0	0	0	D	D	U	
62	8	0	I	I	0	0	0	0	0	0	U		
67	1	I	I	I	0	0	0	0	0	0	0		
67	2	I	I	I	0	0	0	0	0	U	U		
67	3	I	I	0	0	0	0	0	0	0			
67	4	I	I	0	0	0	0	0	0	U			
67	5	I	I	0	0	0	0	0	0	U			
67	6	I	I	0	0	0	0	0	0	0			
67	7	0	I	I	0	0	0	0	0	0			
67	8	I	I	I	0	0	0	0	0	0			
