Slide	Section 	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12
5	1	U	I	0	0	0	0	0	U	0			
5	2	0	U	0		0	0	0	0	U			
5	3	U	I	0	0	0	0	U	U	U			
5	4	U	0	0	0	0	0	0	0	0			
5	5	U	U	0	0	U	U	D					
5	6	0	0	0	0	0	0	0	0				
5	7	0	0	0	0	0	0	0	0				
5	8	U	0	0	0	0	0	0	U	0			
5	9	U	0	U	0	0	0	0	U				
10	1	U	0	0	0	0	0	0	U				
10	2	U	0	0	0	U	U	0	U				
10	3	0	0	0	0	0	0	0	D				
10	4	0	0	0	0	0	0	0	0	0			
10	5	D	D	D	D	D	D	D	D	D			
10	6	U	0	0	0	0	0	0	0	0			
10	7	0	0	0	0	0	0	0	U	D			
10	8	U	0	0	0	0	0	0	U	U			
10	9	U	U	0	0	0	0	0	U	D			
15	1	D	D	D	D	D	D	D	D	D	D		
15	2	D	D	D	D	D	D	D	D	D	D		
15	3	D	D	D	D	D	D	D	D	D	D		
15	4	D	D	D	D	D	D	D	D	D	D		
15	5	D	D	D	D	D	D	D	D	D	D		
15	6	0	0	0	0	0	U	U					
15	7	D	U	0	0	0	0	0	U	U			
15	8	D	U	U	U	0	0	0	U	D			
15	9	U	U	0	0	D	D	0	0	U	D		
20	1	D	D	0	0	0	0	0	0	0			
20	2	D	D	U	0	0	0	0	0	0	U	U	
20	3	D	D	U	0	0	0	0	0	U	D		
20	4	D	U	0	0	0	0	0	0	0	U	0	
20	5	D	D	0	U	D	U	0	0	D			
20	6	U	0	0	0	0	0	0	0	0	0		
20	7	0	0	0	0	0	0	0	U	D			
20	8	U	D	0	0	0	U	D					
20	9	0	0	0	0	0	0	U	D				
25	1	D	0	0	0	0	0	0	0	0	0	0	
25	2	0	0	0	0	0	0	U	U	U	0	U	
25	3	D	U	0	0	0	0	0	U	0	0		
25	4	D	0	I	0	0	U	U	0	D			
25	5	D	D	D	D	D	D	D	D	D	D	D	
25	6	0	0	0	0	0	U	0	0	D	0	D	
25	7	0	0	D	0	D	U	0	0	0	0	D	
25	8	U	0	0	0	0	0	0	0	U	U	0	
25	9	0	0	U	0	U	U	0	0	0			
30	1	0	0	0	0	0	0	0	0	0	0	0	0
30	2	0	0	0	0	0	0	0	0	0	0	0	
30	3		0	0	0	0	0	0	0	0	0		
30	4	0	0	0	0	0	0	0	0	0	U	0	
30	5	U	U	U	U	U	U	U	U	U	U	U	U
30	6	0	0	0	0	0	0	0	0	0	U		
30	7	U	U	0	0	0	0	0	0	U	0		
30	8	0	0	0	0		0	0	0	0	0	U	
30	9	0	0	0	0	0	0	0	0	0	0	0	
35	1	D	0	0	0	0	0	U	0	0	U	U	0
35	2	D	0	0	0	0	0	0	0	0	0	0	0
35	3	D	0	0	0	0	0	0	0	0	0	D	
35	4	D	0	0	0	0	D	D	0	0	0	0	0
35	5	U	U	U	U	U	U	U	U	U	U	U	U
35	6	0	0	I	0	0	0	0	0	0	0	U	0
35	7	D	0	0	0	0	0	0	0	0	0	D	
35	8	D	0	0	D	0	0	0	0	0	0	D	
35	9	D	0	0	0	0	0	0	0	U	U	0	
40	1	D	0	I	0	0	0	0	0	0	0	0	0
40	2	D	0	U	0	0	U	0	0	0	U	U	0
40	3	D	0	I	0	0	0	0	0	U	U	0	
40	4	0	0	0	0	0	0	0	0	0	0	0	0
40	5	D	D	D	D	D	D	D	D	D	D	D	D
40	6	0	0	0	0	U	U	U	0	0	U	D	
40	7	0	0	0	0	U	D	0	0	0	U	0	
40	8	0	0	0	0	0	0	0	0	0	0	0	U
40	9	0	0	0	0	0	0	U	0	U	0	0	
45	1	0	I	0	0	0	U	D	0	0	0	U	
45	2	0	0	0	D	D	0	0	0	U	0	0	
45	3	I	I	0	0	0	0	0	0	0	0	0	
45	4	D	I	0	0	0	0	0	0	0	U	U	
45	5	U	I	0	0	0	D	0	0	0	0	0	0
45	6	0	0	I	0	0	0	0	0	0	0	U	
45	7	0	I	0	0	0	0	0	0	U	0	0	
50	1	U	I	0	0	0	U	U	0	U	U	U	
50	2	I	I	U	0	0	U	0	0	U	U		
50	3	D	I	I	U	U	U	U	0	U	0	U	
50	4	U	I	0	0	0	0	0	U	U	U		
50	5	U	U	U	U	U	U	U	U	U	U	U	
50	6	U	I	0	0	0	0	0	U	D			
50	7	U	I	0	0	0	0	0	U	U	U		
50	8	U	I	0	U	0	0	0	0	U	U		
50	9	D	I	0	U	0	0	0	U	D			
55	1	0	0	0	0	U	0	0	D				
55	2	I	0	0	0	0	0	U					
55	3	U	0	0	0	0	0	U	U	0			
55	4	U	I	0	0	0	U	0	0	U	U		
55	5	U	U	U	U	U	U	U	U	U	U		
55	6	U	I	0	0	0	0	0	0	U			
55	7	U	I	0	0	0	U	0	U	D			
55	8	0	I	0	0	0	0	0	D				
55	9	0	I	0	0	0	0	0	0	D			
60	1	0	0	0	0	0	0	0	0				
60	2	0	0	0	0	0	0	0	I				
60	3	U	0	0	0	0	0	0	0	U			
60	4	U	0	0	0	0	0	0	0	0			
60	5	D	D	D	D	D	D	D	D	D			
60	6	0	0	0	0	0	0	0	U				
60	7	0	0	0	0	0	0	0					
60	8	0	0	0	0	0	0	0					
60	9	0	0	0	0	0	0	0					
