Slide	Section 	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11
67	1	U	0	0	0	0	U	0	0	U	U	
67	2	0	0	0	0	0	0	0	0	U	U	
67	3	U	0	0	I	0	0	U	0	0	U	D
67	4	D	D	D	D	D	D	D	D	D	D	D
67	5	0	0	0	0	0	0	0	U	U	D	
67	6	D	0	0	0	0	0	0	U	U	D	
67	7	D	0	0	I	0	0	0	0	0	U	
67	8	0	0	0	I	0	0	0	0	U		
67	9	D	0	I	I	0	0	0	0	U	D	
71	1	0	0	I	I	0	0	U	0	0		
71	2	0	0	0	I	0	0	0	0	U		
71	3	0	0	I	U	0	0	0	0	0		
71	4	U	0	I	0	0	0	U	U	U		
71	5	U	U	I	0	0	U	U	U			
71	6	0	U	I	U	0	0	0	0	D		
71	7	0	0	I	0	0	0	0	0	D		
71	8	0	0	0	I	0	0	0	D			
72	1	0	0	0	I	0	0	0	0	0		
72	2	0	0	0	I	0	0	0	0	U		
72	3	D	0	0	I	0	0	0	0	0		
72	4	U	0	I	0	U	0	U	U			
72	5	0	0	0	I	0	0	0	D			
72	6	U	0	0	I	0	0	0	U			
72	7	D	0	0	0	0	0	0	0			
72	8	0	0	0	I	0	0	0	0	0		
