Slide	Section 	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
20	1	I	0	0	0	0	0	0	0	0	0	U	D	
20	2	I	0	0	0	0	0	0	0					
20	3	D	D	0	0	0	D	0	U	U	0	0	D	
20	4	D	U	0	0	0	0	0	0	0	0	0	U	
20	5	I	D	D	D	D	D	D	D	D	D	D	D	
20	6	0	0	I	0	0	0	0	0	0	0	0	U	
20	7	U	0	I	0	D	D	0	0	0	0	0	0	
20	8	D	0	0	0	0	0	0	0	U	U	0	D	
25	1	D	0	0	0	0	0	0	0	0	0	0	0	
25	2	0	I	I	0	0	0	0	0	0	0	0	0	0
25	3	0	I	I	I	0	0	0	0	0	0	0	0	
25	4	0	I	I	0	0	0	0	0	0	0	0	0	
25	5	0	I	I	0	0	0	0	0	0	0	0	0	
25	6	0	I	I	0	0	0	0	0	0	0	0	U	
25	7	0	U	0	0	0	0	0	0	0	0	0	0	
25	8	0	I	I	0	0	0	0	0	0	0	0	0	
38	3	X	X	X	X	X	X	O	X	X	X	X	X	X
38	8	X	X	X	X	X	X	O	X	X	X	X	X	X
40	1	0	0	I	0	0	0	0	U	0	0	0	D	0
40	2	D	I	I	D	0	0	0	D	D	0	0	0	0
40	3	0	I	0	0	0	0	0	D	0	U	D	D	0
40	4	0	0	I	0	0	0	0	0	0	0	0	0	0
40	5	0	D	0	0	0	0	0	0	0	0	0	0	
40	6	D	I	0	0	0	0	0	0	0	0	0	0	
40	7	0	I	0	0	0	0	0	0	0	0	0	0	0
40	8	D	D	0	0	0	0	0	0	0	0	0	0	0
43	1	X	X	X	X	X	X	O	X	X	X	X	X	X
43	8	X	X	X	X	X	X	O	X	X	X	X	X	X
45	1	I	0	0	0	0	0	0	0	0	0	0	0	0
45	2	0	0	I	0	0	0	0	0	0	0	0	0	
45	3	0	0	0	0	0	0	0	0	0	0	0	0	
45	4	U	0	0	0	0	U	U	0	D				
45	5	0	0	I	0	0	0	0	0	0	0	0	0	0
45	6	0	0	0	0	0	0	0	0	0	U	U	U	U
45	7	0	I	0	0	0	0	0	0	0	0	0	0	
45	8	D	0	0	0	U	U	U	U	0	0	0	D	
48	2	X	N	N	X	X	X	X	X	X	X	X	X	X
48	8	X	N	N	X	X	X	X	X	X	X	X	X	X
