Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
30A3L	6	2	1	0.833333333	1	1	1	1	1.333333333	1.333333333	1.333333333				
30A3L	6	8	0.666666667	1.166666667	1	1	1	1.5	1.833333333	1.166666667	1	1			
30A3L	16	1	1.333333333	0.833333333	1	1	1	1	1	1	1.166666667	1			
30A3L	16	9	0.666666667	1.5	1	1.333333333	1	1.166666667	1	1	1	1	1		
30A3L	16	9	N	X	X	X	X	X	X	X	X	X	X	X	X
30A3L	26	1	0.833333333	1	1.166666667	1	1	1.166666667	1.166666667	1	1	1	1.166666667	1	1
30A3L	26	9	1.166666667	1.333333333	1.166666667	1	1.166666667	1	1	1	1	1	1	1	1.166666667
30A3L	36	3	X	X	X	X	X	X	O	X	X	X	X	X	X
30A3L	36	3	1.166666667	1	1.166666667	0.833333333	1	0.666666667	0.5	1	1.166666667	1.166666667	1.166666667	1.166666667	1.25
30A3L	36	8	X	X	X	X	X	O	X	X	X	X	X	X	X
30A3L	36	8	1.166666667	1	1	1	0.833333333	0.666666667	1.333333333	0.666666667	1	1	1.333333333	1.5	
30A3L	46	1	1	1.166666667	1	1.166666667	1	1	1	0.833333333	1	1.166666667	1.333333333	1	2
30A3L	46	8	1	1	1	1	1	0.666666667	1.166666667	1	1.166666667	1.166666667	1.333333333	1.166666667	
30A3L	56	3	1	1.166666667	1.166666667	1	1	1.166666667	1.333333333	1	1	1.5	0.666666667		
30A3L	56	8	0.666666667	1	1	1.166666667	0.833333333	0.833333333	1	1	1.166666667	1.166666667	0.833333333		
30A3L	66	1	1	1.166666667	1	1.333333333	1	1	1.166666667	1.166666667	0.833333333	0.333333333			
30A3L	66	7	0.666666667	1.166666667	1.166666667	0.833333333	1	1	1	1.166666667	1	0.666666667	0.5		
