Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
30B1L	1	1	1.5	2.166666667	1.833333333	1.333333333	1	1	1	2					
30B1L	1	8	1.666666667	2.333333333	1.333333333	1	1	1	1	1	1.333333333	1.5			
30B1L	10	2	2.333333333	4.833333333	5.166666667	1.666666667	0.666666667	1	1	1	1	0.833333333	0.666666667		
30B1L	10	9	1.833333333	4.666666667	6.333333333	1.666666667	1	1	1	1	1	1	0.833333333		
30B1L	20	2	1.333333333	4.166666667	4.833333333	2	1.166666667	1	1	1	1	1	1	1	
30B1L	20	9	0.833333333	4.166666667	5	1.666666667	1	1.166666667	1	1	1	1	1	0.333333333	
30B1L	30	1	X	N	X	X	X	X	X	X	X	X	X	X	X
30B1L	30	8	X	N	X	X	X	X	X	X	X	X	X	X	X
30B1L	30	1	1.666666667	4	4	1.333333333	1	1	0.333333333	0.833333333	1	1	1	0.666666667	1
30B1L	30	8	1.333333333	3.5	3.666666667	1.666666667	0.833333333	1	0.833333333	0.833333333	1	0.833333333	1	0.833333333	1
30B1L	40	2	1	2.833333333	4.5	1.333333333	0.833333333	1	0.666666667	1	1	1	1	1	
30B1L	40	8	1	2.833333333	4.166666667	1.333333333	1.166666667	0.666666667	1	1	1	1	1	1	
30B1L	50	2	1.333333333	3.166666667	4.5	1.5	1	1	0.833333333	1	1	1	0.666666667	1	
30B1L	50	8	1.333333333	4.166666667	3.833333333	1.166666667	1	1	0.833333333	1	1	1	0.6		
30B1L	60	1	2.166666667	5.166666667	1.833333333	1	1	1	1	0.833333333	1				
30B1L	60	7	2.166666667	6.833333333	1.666666667	1	1	1	1	0.666666667	0.666666667				
