Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
30D1L	5	1	2.333333333	5.166666667	4.166666667	2	0.5	0.666666667	0.666666667	1.333333333	1	0.833333333	0.166666667		
30D1L	5	5	1.166666667	5.833333333	3.5	1.166666667	0.333333333	0.833333333	0.666666667	1.5	0.833333333	0.833333333			
30D1L	15	4	1.333333333	4.666666667	3	2.666666667	0.5	0.666666667	0.5	0.333333333	1.166666667	0.833333333	0.666666667		
30D1L	15	4	X	N	X	X	X	X	X	X	X	X	X		
30D1L	15	8	2	4.166666667	3	2	0.666666667	0.166666667	0.333333333	0.666666667	0.833333333	1	0.5		
30D1L	15	8	X	N	X	X	X	X	X	X	X	X	X		
30D1L	25	3	0.833333333	2.5	4.166666667	0.666666667	0.166666667	0.333333333	0.166666667	0.666666667	0.666666667	0.666666667	0.2		
30D1L	25	3	X	X	X	X	X	O	X	X	X	X	X		
30D1L	25	9	0.333333333	3.5	4	1.166666667	0.833333333	0.666666667	0.333333333	0.166666667	0.166666667	0.833333333	0.833333333	0.833333333	0.333333333
30D1L	25	9	X	X	X	X	X	X	O	X	X	X	X	X	X
30D1L	35	1	1.5	2	1.166666667	0.5	0.5	0.333333333	0.833333333	1	1.333333333	0.833333333	0.666666667	0	
30D1L	35	6	0.666666667	1.333333333	1.166666667	0.333333333	0.666666667	0.333333333	0.666666667	0.833333333	1	1	0		
30D1L	45	3	0.833333333	1.333333333	0.833333333	1	0.833333333	0.666666667	0.666666667	1.166666667	1.5	0.833333333	0.5		
30D1L	45	6	0.333333333	0.833333333	0.666666667	0.833333333	0.333333333	0.333333333	0.166666667	0.833333333	0.833333333	0.666666667	0		
30D1L	55	2	1	0.833333333	1.166666667	0.833333333	0.833333333	0.666666667	1.333333333	1.333333333	0.833333333	0.5			
30D1L	55	9	0.666666667	0.833333333	1	1	1	0.833333333	1.5	0.833333333	1.166666667	0.666666667			
30D1L	65	3	0.166666667	1.166666667	0.833333333	0.833333333	0.833333333	0.666666667	1.333333333	0.833333333	0.666666667	1			
30D1L	65	8	0.166666667	1.333333333	1.166666667	1	0.666666667	0.833333333	1.333333333	1.5	0.333333333	1			
