Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12
30F1L	1	1	2.3	2.3	2.7	2.2	1.2	1.0	1.2	1.4				
30F1L	1	7	1.5	2.2	2.8	1.8	1.5	1.2	1.3	1.5				
30F1L	11	1	1.7	3.0	2.2	1.2	1.2	1.2	1.2	1.0	1.0	1.2	2.0	
30F1L	11	9	2.2	3.2	2.2	1.5	1.2	1.5	1.2	1.0	1.2	1.0	1.7	
30F1L	21	1	4.0	5.3	3.8	1.7	1.0	1.2	1.0	1.0	1.2	1.0	1.0	0.7
30F1L	21	8	3.5	5.3	3.3	1.8	1.0	1.0	1.0	1.0	1.0	1.0	1.3	0.5
30F1L	31	1	4.3	5.5	5.3	2.5	1.0	1.0	0.8	0.8	1.0	1.0	1.2	1.0
30F1L	31	9	4.5	5.8	5.5	2.5	1.2	1.2	0.8	1.0	1.2	1.0	1.0	0.8
30F1L	41	1	5.7	5.5	5.5	2.8	1.3	1.2	0.8	1.0	1.2	1.0	1.3	1.0
30F1L	41	8	4.8	4.7	5.0	2.5	1.2	1.3	1.0	0.8	1.2	1.0	1.0	0.8
30F1L	41	1	X	N	X	X	X	X	O	X	X	X	X	X
30F1L	41	8	X	N	X	X	X	X	O	X	X	X	X	X
30F1L	41	8	4.8	4.7	5.0	2.5	1.2	1.3	1.0	0.8	1.2	1.0	1.0	0.8
30F1L	51	1	5.0	4.8	4.0	2.5	1.3	1.0	1.0	1.0	1.2	1.2	1.0	1.0
30F1L	51	9	4.8	5.0	3.8	2.0	1.2	1.0	1.2	1.0	1.0	1.2	1.0	1.0
30F1L	61	1	5.7	5.3	4.2	2.0	1.2	1.0	1.0	1.0	1.2	1.0	0.8	
30F1L	61	8	5.7	5.8	4.2	1.8	1.2	0.8	1.2	1.2	1.0	1.0	0.7	
30F1L	71	1	3.8	3.8	2.8	1.8	1.3	1.0	1.2	1.0	0.8	1.0		
30F1L	71	7	3.8	3.5	2.5	1.8	1.0	1.0	1.2	1.0	0.8	1.0		
