Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14
30F2L	3	1	1.666666667	1.666666667	1.333333333	1.166666667	1	1.166666667	1.166666667	1	1.5					
30F2L	3	10	1.833333333	1.166666667	1.666666667	1.166666667	1.166666667	1.166666667	1.333333333	1.166666667	1.5					
30F2L	13	1	1.333333333	1.333333333	1.333333333	1	1	1	1.166666667	1	1.333333333	1.5	1.6	1.333333333		
30F2L	13	8	1.5	1	1	0.833333333	0.833333333	0.833333333	1	1	1	1	1.166666667	2.5		
30F2L	23	1	1	1.166666667	1	1	0.666666667	0.5	0.833333333	0.5	0.833333333	1.166666667	1	1	1.25	
30F2L	23	8	1.166666667	1	1	1	0.833333333	0.666666667	0.666666667	0.666666667	0.833333333	1	1	1.166666667	0.833333333	
30F2L	33	2	1	2	1	1	0.666666667	1	0.666666667	0.833333333	1	1	1.166666667	1	0.833333333	1
30F2L	33	2	X	N	X	X	X	X	O	X	X	X	X	X	X	X
30F2L	33	7	1	2.5	0.833333333	0.833333333	0.666666667	0.833333333	0.5	0.666666667	0.833333333	0.666666667	1	1	1	
30F2L	33	7	X	N	X	X	X	X	O	X	X	X	X	X	X	X
30F2L	43	1	1	1	1	0.833333333	0.5	0.666666667	0.666666667	0.833333333	0.666666667	1	0.666666667	0.833333333	0.5	
30F2L	43	8	1	1	0.833333333	0.833333333	0.666666667	0.5	0.833333333	0.5	1	1	1	0.833333333	0.5	
30F2L	53	1	1	1.333333333	1	0.833333333	0.833333333	0.666666667	0.833333333	0.833333333	1	1	1	0.666666667		
30F2L	53	8	1.166666667	1.166666667	0.833333333	1	0.833333333	0.5	0.5	0.666666667	1	1	0.833333333	0.6		
30F2L	63	1	1.166666667	1.333333333	1.166666667	0.833333333	0.833333333	1	1	1	1	0.833333333	0.666666667			
30F2L	63	8	0.833333333	1.333333333	1.166666667	1	0.833333333	1	1.333333333	1	1	0.666666667	0.666666667			
