Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
30I2L	1	1	1.333333333	2	2.333333333	1.333333333	1.166666667	1	1	1.5	2.666666667				
30I2L	1	8	1.5	1.666666667	1.833333333	1.833333333	1.166666667	1	1.333333333	2	2.2				
30I2L	9	1	0.666666667	0.833333333	1	1	0.666666667	0.833333333	1	1	1	1	1	1	
30I2L	9	7	1	1	1	1	1	1	1.166666667	1	1	1	1	2	
30I2L	19	1	1.166666667	1.166666667	1	0.833333333	0.833333333	0.833333333	0.833333333	1	1	1	1	1	1
30I2L	19	8	1.166666667	1	1	0.833333333	1	1	1	1	1	1	1	1	1
30I2L	29	1	1	1	1	1	0.833333333	1	0.666666667	0.833333333	1	1	1.166666667	1	0.833333333
30I2L	29	1	X	X	X	X	X	X	O	X	X	X	X	X	X
30I2L	29	8	1	1	0.833333333	1	0.666666667	1	0.666666667	1	1	1	1.166666667	1	0.833333333
30I2L	29	8	X	X	X	X	X	X	O	X	X	X	X	X	X
30I2L	39	1	0.833333333	2.166666667	0.666666667	1	1	0.5	0.666666667	1	1	1.166666667	1	0.833333333	1
30I2L	39	1	X	N	X	X	X	X	X	X	X	X	X	X	X
30I2L	39	9	1	2.166666667	0.666666667	1	1	1	1	1	1	1.166666667	0.833333333	1	0
30I2L	39	9	X	N	X	X	X	X	X	X	X	X	X	X	X
30I2L	49	1	1	1.166666667	0.833333333	1	0.833333333	0.833333333	0.833333333	1	1	1.166666667	1	1	0
30I2L	49	9	1	1.166666667	0.666666667	1	1	0.666666667	1	1	1	1.166666667	1	1.166666667	
30I2L	59	1	1.166666667	1	1	1	0.833333333	1	1	1	1	1.166666667	1	2	
30I2L	59	8	0.833333333	0.833333333	1	1	0.833333333	0.833333333	1	1	1.166666667	1	1		
30I2L	69	1	1	1	1	1	1	0.833333333	1.166666667	1	1	0.5			
30I2L	69	9	1.166666667	1	1	1	0.833333333	1.166666667	1	1.166666667	1	0.666666667			
