Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
30J2L	1	4	1.333333333	3.166666667	2.833333333	2.833333333	2	1.833333333	2.333333333	1.666666667	3				
30J2L	1	6	1.166666667	2	2.5	1	0.833333333	1.5	1	1.833333333	1.333333333	1			
30J2L	11	3	1.166666667	1.166666667	0.833333333	1	0.333333333	0.333333333	0.666666667	0.833333333	1	1.333333333	1.166666667		
30J2L	11	8	0.5	1.666666667	1.5	1.333333333	0.333333333	0.333333333	0.833333333	1.666666667	0.833333333	0.666666667	1		
30J2L	21	3	1	1.166666667	0.833333333	1	0.833333333	0.333333333	0.5	0.833333333	1.333333333	1.166666667	0.833333333	1	
30J2L	21	7	1	1.333333333	1.166666667	1.166666667	1	0.833333333	1	1	1.166666667	1.333333333	0.666666667	1.5	
30J2L	31	3	0.666666667	1	1	0.833333333	0.5	0.333333333	0.333333333	0.666666667	1.166666667	1.333333333	1	0.833333333	1
30J2L	31	3	X	X	X	X	X	O	O	X	X	X	X	X	X
30J2L	31	8	1	1	1.166666667	0.333333333	1	0.166666667	0.666666667	0.666666667	0.833333333	1.333333333	1	0.833333333	
30J2L	31	8	X	X	X	X	X	O	X	X	X	X	X	X	X
30J2L	41	2	0.833333333	2	0.5	0.5	0.333333333	0.666666667	1.166666667	0.666666667	0.833333333	1.166666667	0.666666667	0.75	
30J2L	41	2	X	N	X	X	X	X	X	X	X	X	X	X	X
30J2L	41	6	1	1.666666667	0.833333333	1	0.666666667	0.833333333	0.833333333	1.333333333	1	1	0.833333333	0.75	
30J2L	41	6	X	N	X	X	X	X	X	X	X	X	X	X	X
30J2L	51	1	1	0.666666667	0.833333333	0.666666667	0.5	0.5	1.166666667	1.166666667	1.166666667	1.166666667	0.75		
30J2L	51	7	0.833333333	1.166666667	1.333333333	1.166666667	0.833333333	0.5	1	0.833333333	1.166666667	1	0.6		
30J2L	61	7	0.833333333	1.333333333	0.666666667	0.5	0.666666667	1	1.166666667	0.833333333	0.833333333	1			
30J2L	61	8	1.166666667	1.5	1	0.666666667	0.833333333	1.333333333	1.333333333	1	0.666666667	1			
30J2L	71	3	1.166666667	1.5	1.166666667	1.333333333	1.166666667	0.666666667	1	0.833333333	2				
30J2L	71	8	1.166666667	1.666666667	1	1.333333333	1	0.666666667	0.5	0.666666667					
