Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
30K1L	3	1	1	1.5	2	1.166666667	0.833333333	1	1.166666667	1.333333333	1.166666667	1.666666667			
30K1L	3	8	1.166666667	1.833333333	1.166666667	1.166666667	1	1	1.166666667	1	1.333333333	1			
30K1L	13	1	1	1.5	1.5	0.833333333	0.5	1	0.666666667	0.833333333	1	1	1.2		
30K1L	13	9	1.166666667	1.333333333	1.166666667	1	0.833333333	1	1	0.833333333	1.5	1	1.4		
30K1L	23	1	1	3.833333333	3.166666667	1.166666667	1	1	0.666666667	1	1	1.166666667	1	1	
30K1L	23	9	1.333333333	3.666666667	3.666666667	1.333333333	1	0.666666667	1	1	1.166666667	1	1.166666667	1.2	
30K1L	33	3	1.166666667	4.166666667	5.333333333	2.166666667	1.166666667	0.666666667	0.166666667	0.833333333	1	1	1.166666667	1	1.25
30K1L	33	3	X	X	X	X	X	X	O	X	X	X	X	X	X	
30K1L	33	8	1.5	5	4.833333333	1.833333333	1	0.5	0.666666667	1	0.666666667	1	1	0.666666667	2
30K1L	33	8	X	X	X	X	X	O	O	X	X	X	X	X	X
30K1L	43	2	2.166666667	4	4.5	2.833333333	1	1	1	1	1	1	1	1	0.333333333
30K1L	43	8	X	N	X	X	X	X	X	X	X	X	X	X	X
30K1L	43	8	2.333333333	4.666666667	4	2.333333333	1	0.833333333	1	1	0.666666667	1	1	1	1.5
30K1L	53	2	2.333333333	5.166666667	3.666666667	1.833333333	0.833333333	0.833333333	1	1	1.333333333	1	1	0.5	
30K1L	53	9	2.666666667	5.5	3.666666667	2.666666667	1	1	1	1	1	1	1	0.666666667	
30K1L	63	1	2.666666667	4.666666667	4.333333333	1.5	1.166666667	1	0.833333333	1	1	1	1		
30K1L	63	7	2.833333333	4.833333333	4.333333333	1.166666667	1	1	1.166666667	1	1	1	1		
30K1L	73	1	2.166666667	3.333333333	2	1.333333333	1	1.666666667	1	1	1.25				
30K1L	73	7	1.833333333	3	1.666666667	1	1	1	1	1	0.666666667				
