Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12
30M2L	1	4	1.833333333	3.166666667	4.833333333	5.666666667	3.333333333	2.333333333	2.666666667	2				
30M2L	1	10	1.5	2.166666667	2.333333333	1.5	2	3.5	2.833333333	1.333333333	2.333333333			
30M2L	9	3	3	4.833333333	1.833333333	0.5	1.166666667	1.166666667	1	1.333333333	1.166666667	2.5	1.4	
30M2L	9	7	2.166666667	4.5	1.166666667	0.5	1.833333333	1	1	1	1			
30M2L	19	3	2.666666667	5.333333333	2.333333333	1	1	1.166666667	0.666666667	1.166666667	1.166666667	1.5	1.6	
30M2L	19	3	X	N	X	X	X	X	X	X	X	X	X	X
30M2L	19	11	2	6	2.666666667	1.333333333	1.166666667	0.833333333	0.666666667	1	0.833333333	1.166666667	1.666666667	2
30M2L	19	11	X	N	X	X	X	X	X	X	X	X	X	X
30M2L	29	1	2.166666667	3.666666667	3	1.833333333	1.166666667	0.833333333	0.666666667	0.666666667	1.166666667	1	1.333333333	2.166666667
30M2L	29	1	X	X	X	X	X	X	O	X	X	X	X	X
30M2L	29	5	1.666666667	3.333333333	3.166666667	1.333333333	0.833333333	0.333333333	0.333333333	0.5	1.333333333	1.166666667	1.666666667	1.5
30M2L	29	5	X	X	X	X	X	O	O	X	X	X	X	X
30M2L	39	2	2.166666667	3.833333333	3.833333333	1.5	0.833333333	0.5	0.666666667	0.833333333	0.5	1.5	1	1
30M2L	39	3	2.333333333	3.166666667	3.666666667	1.5	0.5	1.166666667	0.666666667	1.166666667	1.166666667	1.5	0.833333333	1.4
30M2L	49	6	2.166666667	4.5	4.166666667	1.166666667	1	0.833333333	0.833333333	1	1	1.333333333	0.833333333	0.666666667
30M2L	49	8	2.333333333	6	2.666666667	0.666666667	0.833333333	1	1.166666667	1.166666667	0.833333333	0.666666667	0.666666667	0.5
30M2L	59	5	0.5	2.333333333	1.333333333	1.333333333	1.333333333	1.833333333	1.333333333	1.5	1	0.666666667	0.666666667	
30M2L	59	8	1	1.5	1.5	1.333333333	1.166666667	0.833333333	1.166666667	0.666666667	0.333333333	1		
30M2L	69	4	0.333333333	2.5	2	2	1.166666667	1.666666667	1	0.833333333	2			
30M2L	69	8	1.166666667	1.666666667	1.166666667	1	1.333333333	1.166666667	0.833333333	1.25				
