Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
33A2L	2	1	1.166666667	3.166666667	4	0.5	0.166666667	0.333333333	0.5	0.5	0.333333333	0			
33A2L	2	9	0.833333333	2.833333333	3.833333333	0.5	0.333333333	0.666666667	0.5	0.666666667	0.5				
33A2L	7	3	0.666666667	2.333333333	2.5	0.666666667	0.166666667	0.166666667	0.166666667	0.5	0.6	0.5	0.5		
33A2L	7	9	1.4	2.4	3.833333333	0.5	0.166666667	0.5	0.333333333	0.166666667	0.166666667	0.166666667			
33A2L	12	2	0.333333333	1.666666667	2.333333333	0.333333333	0.166666667	0.166666667	0	0.166666667	0.166666667	0.5	0.333333333		
33A2L	12	9	0.2	2.666666667	2.5	0.333333333	0.166666667	0.333333333	0	0.166666667	0.5	0.333333333	0		
33A2L	17	3	0.333333333	3	1.25	0.5	0.166666667	0.166666667	0.333333333	0	0.5	0.333333333	0.166666667	0.5	
33A2L	17	9	1	2.333333333	0.8	0.5	0.166666667	0.333333333	0.333333333	0	0.333333333	0.333333333	0.5		
33A2L	22	2	0.333333333	1.166666667	1.333333333	0.333333333	0.333333333	0.5	0.333333333	0.333333333	0.333333333	0.5	0.8	0.75	
33A2L	22	9	0.5	1.5	1.166666667	0.333333333	0	0.166666667	0.166666667	0.166666667	0	0.333333333	0.5	0.25	
33A2L	22	9	X	N	X	X	X	X	O	X	X	X	X	X	
33A2L	27	4	0.666666667	1.4	0.833333333	0.5	0.4	0.333333333	0	0	0.166666667	0.333333333	0.666666667	0.833333333	
33A2L	27	4	X	N	X	X	X	O	O	X	X	X	X	X	
33A2L	27	8	0.5	1.333333333	0.666666667	0.5	0.5	0.166666667	0	0.166666667	0.166666667	0.166666667	0.333333333	0	
33A2L	27	8	X	X	X	X	X	X	O	X	X	X	X	X	
33A2L	32	1	0.8	1.166666667	0.833333333	0.5	0.166666667	0.333333333	0.166666667	0.25	0.5	0.166666667	0.333333333	0.5	1
33A2L	32	9	0.75	1.5	0.666666667	0.333333333	0.333333333	0.166666667	0	0.333333333	0.166666667	0	0.333333333	0.833333333	0
33A2L	37	3	1.166666667	2	0.333333333	0.166666667	0.333333333	0.333333333	0	0.5	0.333333333	0.333333333	0.666666667	0	
33A2L	37	8	0.5	2.166666667	0.833333333	0.166666667	0.333333333	0.166666667	0.166666667	0	0	0.2	0.5	0.333333333	
33A2L	42	1	0.333333333	2.5	0.5	0.333333333	0.166666667	0.333333333	0	0.166666667	0.333333333	0.166666667	0.8	0.333333333	0.6
33A2L	42	8	0.6	2.333333333	0.5	0.2	0.166666667	0.333333333	0.333333333	0.4	0.333333333	0.166666667	0.4	0.666666667	0.5
33A2L	47	1	0.6	1	0.833333333	0.333333333	0	0.166666667	0.166666667	0.333333333	0.333333333	0.333333333	0.166666667	0.166666667	1
33A2L	47	9	0.666666667	1	0.5	0.333333333	0	0.333333333	0.333333333	0.333333333	0.333333333	0.166666667	0.333333333	0	
33A2L	52	1	0.666666667	0.333333333	0.4	0.166666667	0.166666667	0.166666667	0.5	0.333333333	0.333333333	0.666666667	0.166666667		
33A2L	52	9	0.6	0.6	0.75	0	0.2	0.2	0	0.2	0.4	0.333333333	0.5	1	
33A2L	57	1	0.333333333	0.5	0.4	0.333333333	0	0.166666667	0.166666667	0.333333333	0.166666667	0	0.25		
33A2L	57	9	0.8	0.333333333	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0.333333333	0.2	0.333333333	0.5		
33A2L	62	1	0.333333333	0.5	0.333333333	0.166666667	0.333333333	0.333333333	0.166666667	0.5	0.166666667	0.166666667	0.333333333		
33A2L	62	9	0.166666667	0.4	0.333333333	0.166666667	0.166666667	0.166666667	0.5	0.333333333	0.4	0.25	0.5		
33A2L	67	1	0.2	0.666666667	0.333333333	0.333333333	0.5	0.666666667	0.5	0.333333333	0.333333333				
33A2L	67	9	0.4	0.6	0.5	0.333333333	0.333333333	0.5	0.166666667	0.4	1				
33A2L	72	3	0.666666667	0.666666667	0.5	0.333333333	0.166666667	0.5	0.166666667	0.333333333					
33A2L	72	8	0.5	0	0.333333333	0.333333333	0.666666667	0.333333333	0	0.5	0.5				
