Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14
33B2L	1	5	1.2	1	1.2	0.5	0									
33B2L	1	11	0.5	1.2	1.2	1	1	1	1	1	1	1				
33B2L	6	2	0.7	1	1.2	1	1	1	0.8	1.2	1	0.6				
33B2L	6	7	1	1	1	1.2	1	1.2	1.3	1	1	1				
33B2L	11	1	0.2	1.3	1.7	1	0.7	0.8	0.5	0.7	1	0.8	0.8			
33B2L	11	7	0.8	1.3	2.3	1	1.2	0.7	1	1	0.8	1	1			
33B2L	16	2	0.5	1.7	3.3	1.5	1	1	0.7	0.8	1	1	1	1		
33B2L	16	8	0.5	1.3	3.5	1.2	1	0.7	0.7	0.5	1	1	0.8	1		
33B2L	21	3	1	1.7	3.3	1.8	1	0.5	1	0.3	1	1	1	1		
33B2L	21	6	1	2	3.2	2.2	1	0.8	0.5	0.5	0.5	0.7	0.8	0.5	1	
33B2L	26	3	0.3	0.8	3	2.5	1.8	1	0.5	0.3	0.3	0.8	1	1	1	0.5
33B2L	26	8	0.7	1.5	3.5	2.3	1	0.8	1	1	0.3	1	1	0.7	0.5	
33B2L	26	8	X	N	X	X	X	X	X	X	X	X	X	X	X	
33B2L	31	3	0.7	2	2	2.3	1	0.8	1	0.5	0.3	0.8	0.5	1	1	1
33B2L	31	3	X	X	X	X	X	X	X	O	X	X	X	X	X	X
33B2L	31	5	0.3	1.3	2.7	2.3	1.3	1.2	0.2	0.5	0.7	0.7	0.3	0.8	1	1
33B2L	31	5	X	X	X	X	X	X	X	O	X	X	X	X	X	X
33B2L	36	2	1	1.7	2.7	1.8	1	0.7	0.7	0.5	0.5	0.7	0.7	1	1	0.8
33B2L	36	2	X	X	X	X	X	X	O	X	X	X	X	X	X	X
33B2L	36	6	1	1.3	3.3	1.3	0.8	0.5	0.3	0.3	0.7	0.8	0.8	0.8	0.3	
33B2L	36	6	X	X	X	X	X	X	O	X	X	X	X	X	X	
33B2L	41	3	0.7	2.8	2.7	1.3	0.8	0.5	0.7	0.2	0.3	0.8	0.3	0.5	0.8	
33B2L	41	7	1	3.3	1.5	1	1	0.8	1	0.8	0.3	0.3	0.8	0.7	0.3	
33B2L	46	2	1.3	3	1.7	1.3	1	0.7	0.5	0.5	0.5	0.8	0.3	0.7	0.8	
33B2L	46	8	1.8	3.3	2.2	1.3	0.5	0.3	0.5	0.3	0.2	0.3	0.5	0.5	0.3	
33B2L	51	4	1.2	4.3	2	1.2	0.7	0.5	0.2	0.5	0.5	0.3	1	0.7	0.2	
33B2L	51	5	0.6	2.8	1.8	1.2	0.6	0.2	0.4	0.6	0.8	0.4	1	0	0.7	
33B2L	56	3	1.2	3	1.7	0.7	0.5	0.2	0.8	0.5	1	0.8	0.8			
33B2L	56	8	0.7	3	1.7	1	0.3	0.3	0.5	0.7	0.5	1	1	0.5		
33B2L	61	3	1	1.7	1	1	0.3	0.7	0.5	1	1	1	0.8			
33B2L	61	6	1	2.2	1.2	1	0.5	0.7	0.8	0.5	0.7	0.5	0.3	0.3		
33B2L	66	3	1	1.2	0.8	0.8	0.3	0.7	0.7	0.7	0.3	0.3	1			
33B2L	66	5	0.5	1	1	1	0.8	0.5	0.5	0.3	0.8	0.5				
33B2L	71	3	1	1	1	0.8	0.7	1	0.8	0.3	0.8					
33B2L	71	7	0.7	1	0.5	0.7	0.3	0.8	0.5							
