Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14
33C1L	9	2	0	0.333333333	0.333333333	0.333333333	0.166666667	0.166666667	0.166666667	0.5	0.833333333	0.666666667	0.666666667			
33C1L	9	9	0	0.333333333	0.5	0.166666667	0	0	0.166666667	0.333333333	0.166666667	0.333333333	0.333333333			
33C1L	14	3	0	0.333333333	0.166666667	0.166666667	0.166666667	0	0.166666667	0.166666667	0.333333333	0.166666667	0			
33C1L	14	9	0	0.333333333	0.166666667	0.5	0	0	0.333333333	0.5	0.166666667	0.5	0.333333333	1		
33C1L	19	3	0	0.333333333	0.5	0	0	0	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.666666667	
33C1L	19	7	0	0.333333333	0.166666667	0.333333333	0	0	0	0	0.333333333	0.333333333	0.333333333	0.333333333	1	
33C1L	24	3	0	0.333333333	1	1.5	0.166666667	0	0	0.166666667	0	0.333333333	0	0.166666667	0.166666667	0.5
33C1L	24	7	0	0.5	1.333333333	0.333333333	0	0	0	0.166666667	0.333333333	0	0	0.166666667	0.5	
33C1L	29	1	0	1	1.333333333	0.166666667	0.166666667	0	0	0.166666667	0.5	0.5	0.333333333	0		
33C1L	29	1	X	X	X	X	X	O	X	X	X	X	X	X		
33C1L	29	6	0.333333333	0.666666667	1.5	0.833333333	0	0.166666667	0	0.166666667	0.333333333	0.333333333	0.25	0.166666667	0.5	
33C1L	29	6	X	X	X	X	X	X	O	X	X	X	X	X	X	
33C1L	34	2	0	0.833333333	2	0.666666667	0.166666667	0.166666667	0	0.166666667	0.166666667	0	0	0	0	
33C1L	34	2	X	X	X	X	X	X	N	X	X	X	X	X	X	
33C1L	34	6	0	1	1.5	1.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0.2	0.25	0	
33C1L	34	6	X	X	X	X	X	X	N	X	X	X	X	X	X	
33C1L	39	4	0.333333333	0.666666667	2.333333333	0.5	0.333333333	0	0	0	0.166666667	0.333333333	0.333333333	0.166666667	0.166666667	1
33C1L	39	8	0	1.333333333	1.833333333	0	0.333333333	0.166666667	0.166666667	0	0	0	0.166666667	0	0.166666667	1
33C1L	44	3	0.166666667	2.333333333	1.5	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0	0	0	0.666666667		
33C1L	44	6	0	1.6	1.666666667	0.666666667	0	0.5	0.166666667	0	0.166666667	0	0.166666667	0.333333333	0.5	
33C1L	49	2	0	1	1.166666667	0.333333333	0.166666667	0	0	0.333333333	0.333333333	0.166666667	0	0.166666667	1	
33C1L	49	7	0	1.333333333	1.166666667	0.666666667	0.333333333	0.166666667	0	0.333333333	0	0.166666667	0.166666667	0.166666667	0.5	
33C1L	54	1	0.5	1.5	1.666666667	0.5	0	0.166666667	0	0.166666667	0.166666667	0.166666667	0.166666667	0	1	
33C1L	54	6	0.333333333	1.333333333	2.666666667	0.666666667	0	0	0.166666667	0.333333333	0.166666667	0	0.166666667	0		
33C1L	59	2	1	2.833333333	1.666666667	1.833333333	1	0.333333333	0.333333333	0.166666667	0.5	0.166666667	0.5	0.166666667	0.666666667	1
33C1L	59	8	0.6	3.4	3	0.6	0.2	0	0	0.2	0.4	0.25	1.4	0.25		
33C1L	64	1	0.333333333	3.166666667	0.5	0	0.5	0.166666667	0.166666667	0.666666667	0.666666667	0.5	0	0.166666667	1	
33C1L	64	5	0.666666667	2.5	0.833333333	0.333333333	0.833333333	0	0.166666667	0.166666667	0.333333333	0.333333333	0.5	1		
33C1L	69	1	0.333333333	1.166666667	0.333333333	0.666666667	0.166666667	0	0.166666667	0.166666667	0.166666667	0.4				
33C1L	69	6	0.5	0.5	0.166666667	0.166666667	0.166666667	0.333333333	0	0	0.5					
33C1L	74	1	0.166666667	0.833333333	0.833333333	0.5	0.166666667	0.166666667	0	0.166666667	0.666666667					
33C1L	74	8	0.166666667	0.666666667	0.333333333	0.166666667	0	0.166666667	0.333333333	0.166666667	0.5					
