Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	
33D2L	3	1	0.5	0.833333333	0.666666667	0.666666667	0.333333333	0.333333333	0.5	0.5	0.25					
33D2L	3	5	0.333333333	1	0.666666667	0.666666667	0.333333333	0.333333333	0.333333333	0.666666667	0.5					
33D2L	8	1	0.333333333	2.166666667	1.333333333	0.666666667	0.333333333	0.166666667	0.166666667	0.666666667	0.833333333	0.6				
33D2L	8	8	0.5	1.666666667	1.166666667	0.666666667	0.333333333	0.333333333	0.333333333	0.333333333	0.666666667	0.333333333				
33D2L	13	1	0.166666667	1.666666667	1.333333333	1	0.333333333	0.5	0.166666667	0.166666667	0.833333333	0.166666667	0.5			
33D2L	13	8	0.666666667	1.833333333	2.333333333	0.666666667	0.166666667	0.333333333	0	0.166666667	0.5	0.5	0.75			
33D2L	18	1	0.5	1.333333333	3	1	0.333333333	0	0.166666667	0.333333333	0.5	0.666666667				
33D2L	18	8	0.666666667	1.333333333	1.833333333	1.666666667	0.333333333	0.166666667	0	0.333333333	0.166666667	0.666666667	0.666666667	0.333333333		
33D2L	23	1	0.2	1.333333333	3	1	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.5	0.333333333	1
33D2L	23	8	0.333333333	1.333333333	3.166666667	1.5	0.166666667	0	0.166666667	0.166666667	0.333333333	0.5	0.333333333	0.333333333	1	
33D2L	28	1	0.166666667	1.333333333	3.166666667	0.833333333	0.166666667	0	0.166666667	0.166666667	0.166666667	0.333333333	0.5	0.166666667	0.666666667	
33D2L	28	7	0.5	1.5	3	0.833333333	0.166666667	0.166666667	0.166666667	0.166666667	0	0.333333333	0.333333333	0.333333333	0	
33D2L	33	1	0.5	2.166666667	2.833333333	0.833333333	0.333333333	0	0	0.166666667	0.333333333	0.333333333	0.5	0.333333333	0.166666667	
33D2L	33	8	0.333333333	2.166666667	3	1.166666667	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.166666667	0.333333333	0.166666667	0.5
33D2L	38	3	0.333333333	1.666666667	2.666666667	1	0.166666667	0	0.166666667	0.333333333	0.166666667	0.166666667	0.333333333	0.333333333	0.166666667	0.5
33D2L	38	3	X	X	X	X	X	X	O	X	X	X	X	X	X	X
33D2L	38	8	0.5	1.666666667	2	1.166666667	0.333333333	0.166666667	0.166666667	0	0.166666667	0.333333333	0.166666667	0.333333333	0.166666667	0.5
33D2L	38	8	X	X	X	X	X	X	O	X	X	X	X	X	X	X
33D2L	43	1	0.333333333	2.333333333	3.5	0.666666667	0.166666667	0.166666667	0.333333333	0.166666667	0.166666667	0	0.166666667	0	0.166666667	
33D2L	43	1	X	X	X	X	X	X	O	X	X	X	X	X	X	
33D2L	43	8	0.333333333	1.666666667	3.666666667	0.666666667	0.333333333	0.166666667	0	0.166666667	0	0.166666667	0.333333333	0.166666667	0.333333333	
33D2L	43	8	X	X	X	X	X	X	O	X	X	X	X	X	X	
33D2L	48	2	0.333333333	1.666666667	2	0.5	0.333333333	0.166666667	0	0.166666667	0.333333333	0.333333333	0.166666667	0.333333333	0.666666667	0.333333333
33D2L	48	2	X	N	N	X	X	X	X	X	X	X	X	X	X	X
33D2L	48	8	0.166666667	1.333333333	2.5	0.5	0.166666667	0.333333333	0.166666667	0.166666667	0.333333333	0.166666667	0.333333333	0.166666667	0.166666667	1
33D2L	48	8	X	N	N	X	X	X	X	X	X	X	X	X	X	X
33D2L	53	1	0.5	1.666666667	2.833333333	0.333333333	0.333333333	0.333333333	0	0.166666667	0.166666667	0.166666667	0.333333333	0.166666667	0.25	
33D2L	53	8	0.4	1	3.4	0.4	0.2	0	0	0.4	0.2	0.2	0.6	0.2	0.2	
33D2L	58	2	0.5	1.333333333	1	0.166666667	0.166666667	0.166666667	0	0.166666667	0.166666667	0.333333333	0.5	0.5	0.5	
33D2L	58	9	0.333333333	1.666666667	1	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0.333333333	0.333333333	
33D2L	63	1	0.666666667	1	1.333333333	0.5	0.5	0.166666667	0.166666667	0.5	0.333333333	0.333333333	0.166666667	0.666666667	0.5	
33D2L	63	8	0.666666667	1.166666667	1.333333333	0.5	0.166666667	0.166666667	0.166666667	0.5	0.666666667	0.333333333	0.333333333	0.5	0.333333333	
33D2L	68	1	0.666666667	1.166666667	1.333333333	0.5	0.333333333	0	0.333333333	0.333333333	0	0.166666667	0.166666667	0.5		
33D2L	68	8	0.666666667	0.833333333	1.5	0.166666667	0.333333333	0.166666667	0.5	0.5	0.333333333	0.5	0.166666667	0.5		
33D2L	73	1	0.833333333	1.5	1.333333333	0.5	0.333333333	0.166666667	0.166666667	0.333333333	0.333333333	0.5	0	0.333333333		
33D2L	73	8	0.833333333	1.166666667	1.166666667	0.666666667	0.333333333	0.166666667	0.333333333	0.5	0.333333333	0.166666667	0.5	0.666666667		
