Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
33H3L	5	1	0.666666667	2.333333333	1.166666667	1	0.666666667	0.5	0.333333333	0.666666667	0.833333333	1			
33H3L	5	8	0.5	2.166666667	1.333333333	1	0.5	0.166666667	0.5	0.5	1	1			
33H3L	10	2	0.6	3.333333333	1.166666667	0.833333333	0.166666667	0.166666667	0.166666667	0.4	0.666666667	0.666666667			
33H3L	10	9	1	2.5	2.833333333	1	0.333333333	0	0	0.166666667	0.5	0.833333333	0.75		
33H3L	15	1	0.333333333	1.666666667	3.833333333	0.5	0.166666667	0	0.333333333	0.333333333	0.333333333	0.5	0.333333333	0.25	
33H3L	15	9	0.25	1.333333333	3.166666667	0.666666667	0.166666667	0	0	0.333333333	0.666666667	0.666666667	0.5	0.6	
33H3L	20	1	0	1.75	2	0.833333333	0.333333333	0.166666667	0.166666667	0.166666667	0.2	0.333333333	0.5	0.666666667	0.5
33H3L	20	9	0.666666667	1.666666667	2.333333333	0.833333333	0.166666667	0.2	0.166666667	0.5	0.6	0.666666667	0.5	0.333333333	1
33H3L	25	3	0	1.5	1.166666667	0.5	0.5	0	0.25	0.166666667	0.333333333	0.333333333	0.5	0.5	
33H3L	25	9	0.333333333	1.833333333	0.833333333	0.5	0.333333333	0.4	0.166666667	0	0.333333333	0.666666667	1	0.2	1
33H3L	30	3	X	N	X	X	X	X	X	X	X	X	X	X	
33H3L	30	3	1.4	2.5	0.8	0.5	0.333333333	0.166666667	0.166666667	0.25	0.5	0.6	0.5	0.25	
33H3L	30	8	0	3.166666667	1.333333333	0.333333333	0.333333333	0.333333333	0.5	0.25	0.2	0	0.166666667	0.333333333	0.75
33H3L	35	1	X	X	X	X	X	O	O	X	X	X	X	X	X 
33H3L	35	8	X	X	X	X	X	X	O	X	X	X	X	X	X
33H3L	35	1	0	1	1.166666667	0.5	0.166666667	0.166666667	0.166666667	0.2	0	0.333333333	0.2	0.5	0.5
33H3L	35	8	0.2	1.166666667	1.333333333	0.833333333	0.166666667	0	0.4	0	0.2	0.25	0.833333333	0.25	0.5
33H3L	40	1	0.25	1.333333333	2	0.5	0	0.4	0.166666667	0.4	0.166666667	0	0.5	0.25	
33H3L	40	9	0	1.5	1.666666667	0.6	0.333333333	0.5	0	0.333333333	0.166666667	0.5	0.4	0.5	
33H3L	45	2	0.333333333	1.166666667	1.166666667	1.166666667	0.333333333	0.2	0.5	0.166666667	0.25	0	0.333333333	0.166666667	0.25
33H3L	45	6	0.6	1.5	1.333333333	0.5	0.25	0.4	0.666666667	0.25	0	0.166666667	1	0	1
33H3L	50	1	1.333333333	1.833333333	2.833333333	0.5	0	0.166666667	0.166666667	0.333333333	0.5	0	0.25	0.333333333	0.5
33H3L	50	7	1.6	2.333333333	2.5	0.5	0.5	0.333333333	0.4	0.5	0	0.333333333	0.4	0.2	
33H3L	55	1	2.333333333	3.166666667	2.333333333	0.833333333	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0.5	0.333333333	0.333333333	
33H3L	55	9	0.333333333	3.8	2.2	0.6	0.4	0.25	0	0.4	0.2	0.4	0.5	0.5	
33H3L	60	1	1.166666667	2.5	0.666666667	0.666666667	0.166666667	0.333333333	0.5	0.333333333	0.333333333	0.166666667	0.666666667		
33H3L	60	8	1.5	2.666666667	0.833333333	0.333333333	0.5	0.166666667	0.333333333	0.666666667	0.5	0.4	0.4		
33H3L	65	2	0.5	2	0.666666667	0.333333333	0.166666667	0.2	0.333333333	0.666666667	0.333333333	0.166666667	0.333333333		
33H3L	65	9	0.8	2	0.833333333	0.333333333	0.166666667	0.166666667	0.333333333	0.5	1	0.333333333	0.333333333		
33H3L	70	1	0.333333333	1.166666667	0.833333333	0.333333333	0.166666667	0.166666667	0.666666667	0.5	0.5	0.333333333			
33H3L	70	8	0.5	1.333333333	0.833333333	0.833333333	0.166666667	0.8	0.666666667	0	0.25	0.2			
33H3L	75	1	0.5	0.833333333	1	0.5	0.333333333	0.2	0.4	0.166666667	0.4				
33H3L	75	10	0.6	1.166666667	0.833333333	0.5	0.333333333	0.166666667	0.333333333	0.4	0.333333333				
