Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14	IL 15
33K1L	6	3	0	2.333333333	6.166666667	3.166666667	0	0.333333333	0.666666667	0.333333333	0.166666667	0					
33K1L	6	8	0.333333333	3.666666667	5.5	3.5	0.166666667	0.333333333	0	0.833333333	0.166666667	0.5					
33K1L	11	3	0.333333333	3.666666667	4.833333333	2.333333333	0.6	0.833333333	0.666666667	0.833333333	0.333333333	0.4					
33K1L	11	7	0.166666667	2.666666667	4.666666667	4.833333333	0.5	0.166666667	0.333333333	0.5	0.5	0.333333333	1				
33K1L	16	4	X	N	X	X	X	X	X	X	X	X	X				
33K1L	16	8	X	N	X	X	X	X	X	X	X	X	X	X			
33K1L	16	4	0.166666667	4	3	0.5	0.333333333	0.166666667	0.666666667	0.5	0.833333333	0.5	0.5				
33K1L	16	8	0.166666667	1.5	4	0.833333333	0.833333333	0	0	0	0.166666667	0.333333333	0.333333333	0			
33K1L	21	2	0.333333333	0.833333333	2.5	0.333333333	0.166666667	0	0	0	0.333333333	0.5	1	0.666666667			
33K1L	21	5	0.166666667	1.666666667	0.5	0	0.166666667	0.333333333	0	0	0.166666667	0.166666667	0.5	0			
33K1L	26	2	0.333333333	1.5	0.666666667	0.5	0.166666667	0.166666667	0	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0.25		
33K1L	26	8	0.166666667	0.666666667	0.5	0.166666667	0.333333333	0.166666667	0.166666667	0.166666667	0.5	0.166666667	0.75	0.333333333			
33K1L	31	3	0	1.5	1.5	0.666666667	0.166666667	0	0.166666667	0.166666667	0	0.25	0.2	0.5	0.333333333	0.333333333	
33K1L	31	7	0.166666667	1.833333333	0.833333333	0.5	0	0.166666667	0	0	0	0.5	0.166666667	0.5	0.5	1	
33K1L	36	1	0.333333333	3	1.833333333	0.333333333	0.166666667	0	0.166666667	0.166666667	0	0.333333333	0.5	0.166666667	0.333333333	0	
33K1L	36	6	0.166666667	4.166666667	1.333333333	0	0.166666667	0	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0.333333333	0.333333333	0.75	
33K1L	36	1	X	X	X	X	X	X	O	X	X	X	X	X	X	X	
33K1L	36	6	X	X	X	X	X	X	O	X	X	X	X	X	X	X	
33K1L	41	2	X	X	X	X	X	X	X	O	X	X	X	X	X	X	
33K1L	41	6	X	X	X	X	X	X	O	X	X	X	X	X	X	X	
33K1L	41	2	0	2.833333333	1.333333333	0.166666667	0.166666667	0	0.166666667	0.166666667	0	0	0.333333333	0.333333333	0.166666667	0.25	
33K1L	41	6	0.166666667	2.5	0.166666667	0.166666667	0.166666667	0	0	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0.333333333	0.666666667	1
33K1L	46	2	0.166666667	0.833333333	0.5	0.166666667	0	0.5	0.166666667	0	0	0.333333333	0.5	0	0.666666667	0.5	
33K1L	46	8	0.166666667	0.666666667	0.166666667	0.5	0.333333333	0.166666667	0	0	0.333333333	0.833333333	0.333333333	0.333333333	0.5	0.5	
33K1L	51	3	0.166666667	0.333333333	0.666666667	0.333333333	0.5	0	0	0.166666667	0	0	0.333333333	0.333333333	0	1	
33K1L	51	8	0.333333333	0.166666667	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0	0.166666667	0.166666667	0	0.166666667	0.166666667	0.5	
33K1L	56	1	0.166666667	1	0.333333333	0.166666667	0.333333333	0.166666667	0	0	0.166666667	0.166666667	0.166666667	0.166666667	0		
33K1L	56	8	0.2	0.8	0.6	0.4	0.2	0.2	0	0.2	0.2	0.4	0.4	0	0.333333333		
33K1L	61	1	0.166666667	0.5	0.666666667	0	0.166666667	0.166666667	0.166666667	0	0.166666667	0.333333333	0.5	0	0		
33K1L	61	8	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.166666667	0.166666667	0.333333333	0.5	0	0.5		
33K1L	66	2	0.166666667	0	0.333333333	0.166666667	0.166666667	0	0	0	0.166666667	0.166666667	0	0.166666667	0.25		
33K1L	66	7	0.5	0.666666667	0.333333333	0.333333333	0	0	0	0.166666667	0	0.333333333	0.166666667	0.25			
33K1L	71	3	0.333333333	0.333333333	0.5	0.166666667	0.5	0.166666667	0	0.166666667	0	0.166666667	0	0.333333333			
33K1L	71	7	0	0.5	0.5	0	0	0.333333333	0.333333333	0	0.166666667	0.166666667	0.166666667	0.333333333			
