Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14
36aA3L	5	1	0.5	0.666666667	0.166666667	0.333333333	0.166666667	0.166666667	0.333333333	0.666666667	0.333333333	0.666666667	0.333333333			
36aA3L	5	8	0.5	0.833333333	0.666666667	0.333333333	0.166666667	0	0.333333333	0.333333333	0	0.333333333	0.333333333			
36aA3L	15	2	0.5	0	0.333333333	0.333333333	0.166666667	0.166666667	0.5	0.333333333	0.333333333	0.333333333	0.5	0.5		
36aA3L	15	9	0.666666667	0.5	0.333333333	0.333333333	0.5	0.166666667	0.166666667	0	0.5	0.666666667	0.333333333	0.75		
36aA3L	25	1	0.333333333	0.833333333	0.166666667	0.5	0.333333333	0.333333333	0.5	0.333333333	0.666666667	0.666666667	0.833333333	0.5	0.666666667	1
36aA3L	25	8	0.333333333	0.5	0.5	0.333333333	0.166666667	0.166666667	0.666666667	0.166666667	0	0.333333333	0.166666667	0.5	0.666666667	
36aA3L	35	1	0.666666667	0.166666667	0	0.166666667	0.166666667	0.166666667	0	0.166666667	0.166666667	0	0.333333333	0.166666667	0.166666667	1
36aA3L	35	1	X	X	N	X	X	X	X	X	X	X	X	X	X	X
36aA3L	35	7	0.333333333	0.333333333	0	0.666666667	0.5	0.166666667	0.333333333	0	0.166666667	0.666666667	0.166666667	0.166666667	0.5	1
36aA3L	35	7	X	X	N	X	X	X	X	X	X	X	X	X	X	X
36aA3L	45	3	0.333333333	0.166666667	0.333333333	0.166666667	0.333333333	0.5	0.5	0.166666667	0.833333333	0.5	0.5	0.5	0.25	
36aA3L	45	8	0.166666667	0.5	0.333333333	0.833333333	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0.666666667	0.5	0.333333333	0.333333333	
36aA3L	55	1	0.166666667	0	0	0.5	0.166666667	0.166666667	0.333333333	0.333333333	0.166666667	0.666666667	0.333333333	0.666666667		
36aA3L	55	8	0.166666667	0.166666667	0	0.333333333	0.166666667	0.166666667	0.333333333	0.333333333	0.5	1	0.166666667	1		
36aA3L	65	2	0.166666667	0.333333333	0	0.5	0.333333333	0.833333333	0.5	0.333333333	0.166666667	1				
36aA3L	65	8	0.666666667	0.333333333	0.666666667	0.166666667	0.5	0.5	0.333333333	0.166666667	0.166666667	0.166666667				
