Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12
36aB3L	1	2	0.166666667	0.333333333	0.166666667	0.166666667	0.166666667	0	0	0.166666667	0			
36aB3L	1	11	0.166666667	0.333333333	0.166666667	0.333333333	0.166666667	0	0.333333333	0.5	0.5			
36aB3L	8	1	0.166666667	0.333333333	0.166666667	0.166666667	0	0.166666667	0	0.166666667	0.166666667	0.333333333	0.5	1
36aB3L	8	7	0	0.333333333	0.166666667	0	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.5	
36aB3L	18	2	0.166666667	0	0	0.166666667	0.166666667	0.166666667	0	0.333333333	0.166666667	0.333333333	0.5	0.5
36aB3L	18	6	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0	0.166666667	0.166666667	0.333333333	0.333333333	0.333333333	0.333333333
36aB3L	28	6	0.166666667	0	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0	0.166666667	0.333333333	0.333333333	0.2
36aB3L	28	6	X	X	X	X	X	O	X	X	X	X	X	X
36aB3L	28	9	0	0.166666667	0.166666667	0.166666667	0	0.166666667	0	0.333333333	0.166666667	0.166666667	0	1
36aB3L	28	9	X	X	X	X	X	O	X	X	X	X	X	X
36aB3L	38	2	0	0.5	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.166666667	0.166666667	0.166666667	0.4
36aB3L	38	9	0.166666667	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.166666667	0	0.5
36aB3L	38	9	X	N	X	X	X	X	X	X	X	X	X	X
36aB3L	48	1	0.166666667	0.166666667	0	0.166666667	0.166666667	0.166666667	0	0.333333333	0.166666667	0.166666667	0.166666667	0.5
36aB3L	48	8	0.166666667	0.166666667	0	0.166666667	0.166666667	0.166666667	0.166666667	0	0.166666667	0.166666667	0	0
36aB3L	58	1	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.5	0.333333333	0.166666667	0.166666667	0.5	
36aB3L	58	8	0	0.333333333	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.25	
36aB3L	68	1	0	0.333333333	0.333333333	0.166666667	0.166666667	0.333333333	0.5	0.5	0	0.5		
36aB3L	68	9	0.166666667	0.333333333	0.166666667	0.166666667	0.166666667	0	0.166666667	0.166666667	0.166666667	1		
