Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14	IL 15
36aC3L	1	1	0.5	1	1	0.666666667	0.833333333	0.666666667	0.5	0.5	0.75						
36aC3L	1	9	0.5	0.5	1	0.666666667	0.666666667	0.666666667	0.666666667	0.833333333	0.5						
36aC3L	7	1	0.333333333	0.5	0.833333333	0.833333333	0.166666667	0.5	0.333333333	0.333333333	0.5	0.666666667	0.666666667	0.6			
36aC3L	7	7	0.5	0.666666667	1	0.666666667	0.833333333	0.666666667	0.666666667	0.333333333	0.833333333	0.5	0.5	0.666666667			
36aC3L	17	1	0.5	0.5	0.5	0.666666667	0.166666667	0.333333333	0.166666667	0.333333333	0.333333333	0.666666667	0.666666667	0.666666667	0.666666667	1	
36aC3L	17	8	0.333333333	0.5	0.833333333	0.666666667	0.333333333	0.666666667	0.333333333	0.5	0.5	0.666666667	0.5	1	0.5	0.666666667	
36aC3L	27	1	0.666666667	0.5	0.666666667	0.833333333	0.333333333	0.333333333	0.333333333	0.333333333	0.666666667	0.833333333	0.833333333	1	0.666666667	0.5	
36aC3L	27	1	X	X	X	X	X	X	O	X	X	X	X	X	X	X	
36aC3L	27	8	0.833333333	0.5	0.5	0.5	0.333333333	0.333333333	0.333333333	0.333333333	0.5	0.333333333	0.5	0.333333333	0.666666667	0.166666667	1
36aC3L	27	8	X	X	X	X	X	X	O	O	X	X	X	X	X	X	X
36aC3L	37	1	0.333333333	0.5	1	0.5	0.166666667	0	0.166666667	0.5	0.166666667	0.333333333	0.833333333	1	0.333333333	0.5	1
36aC3L	37	1	X	X	N	X	X	X	X	X	X	X	X	X	X	X	X
36aC3L	37	8	0.166666667	0.5	1.166666667	0.5	0.5	0.166666667	0.333333333	0.333333333	0.333333333	0.333333333	0.666666667	0.833333333	0.5	0.5	
36aC3L	37	8	X	X	N	X	X	X	X	X	X	X	X	X	X	X	
36aC3L	47	1	0.333333333	0.333333333	0.333333333	0.5	0.166666667	0.166666667	0.333333333	0.333333333	0.5	0.666666667	0.5	0.5	0.166666667	1	
36aC3L	47	8	0.166666667	0.166666667	0.333333333	0.166666667	0.5	0.166666667	0.5	0.166666667	0.5	0.5	0.5	0.5	0.166666667	0.333333333	
36aC3L	57	1	0.333333333	0.5	0.5	0.166666667	0.5	0.5	0.333333333	0.166666667	0.666666667	0.333333333	0.5	0.333333333	0.4		
36aC3L	57	8	0.333333333	0.5	0.166666667	0.333333333	0	0.333333333	0	0.333333333	0.333333333	0.333333333	0.333333333	0	0.5		
36aC3L	67	2	0.5	0.666666667	0.333333333	0.333333333	0.333333333	0.333333333	0.666666667	0.333333333	0.333333333	0.166666667	0	1			
36aC3L	67	8	0.5	0.333333333	0.5	0.666666667	0.5	0.5	0.5	0.666666667	0.333333333	0.333333333	0	0.333333333			
