Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14	IL 15
36aE2L	1	3	0.666666667	1.166666667	1.333333333	1.5	1	1.333333333	1	1	0.5						
36aE2L	1	7	0.166666667	0.833333333	1.166666667	1	0.666666667	1.166666667	0.666666667	0.333333333							
36aE2L	10	1	0.666666667	1	1.166666667	1.166666667	0.5	0.333333333	0.333333333	0.5	0.5	0.833333333	0.666666667	0.666666667			
36aE2L	10	9	0.333333333	0.666666667	1	1.166666667	0.666666667	0.333333333	0.333333333	0	0.666666667	0.666666667	0.5	1			
36aE2L	20	1	0.5	0.333333333	0.166666667	0	0.833333333	0.666666667	0.833333333	0.333333333	0.5	0.333333333	0.833333333	0.666666667	0.833333333	0.666666667	
36aE2L	20	8	0.5	0.5	0.166666667	0.5	0.666666667	0.666666667	0.5	0.666666667	0.833333333	0.666666667	1	0.666666667	0.333333333	0.666666667	
36aE2L	30	1	0.5	0.166666667	0.333333333	0.666666667	0.5	0.833333333	0.5	0.166666667	0.5	0.666666667	0.833333333	1	1	0.833333333	1
36aE2L	30	1	X	X	X	X	X	X	X	O	X	X	X	X	X	X	X
36aE2L	30	8	0.5	0.333333333	0.166666667	0.5	0.666666667	0.166666667	0.5	0.5	0.5	0.666666667	0.5	1	1	0.666666667	
36aE2L	30	8	X	X	X	X	X	X	O	O	X	X	X	X	X	X	
36aE2L	40	1	1	0.333333333	0.666666667	0.666666667	0.666666667	0.333333333	0.666666667	0.166666667	0.666666667	0.833333333	0.666666667	0.833333333	0.833333333	0.833333333	1
36aE2L	40	8	0.5	0.333333333	0.333333333	0.666666667	0.833333333	0.166666667	0.666666667	0.833333333	0.5	0.666666667	0.666666667	0.666666667	1	0.333333333	
36aE2L	50	1	0.666666667	0.333333333	0	0.833333333	0.5	0.5	0.5	0.5	0.666666667	0.166666667	0.666666667	0.833333333	0.333333333	0.5	
36aE2L	50	8	0.166666667	0.333333333	0.333333333	0.333333333	0.5	1	0.333333333	0.5	0.5	0.833333333	0.833333333	0.833333333	0.5	0.833333333	1
36aE2L	60	2	0.5	0.5	0.666666667	0.5	0.333333333	0.333333333	1	0.666666667	1	0.666666667	0.833333333	0.5	0.333333333		
36aE2L	60	8	0.833333333	0.666666667	0.666666667	0.166666667	0.833333333	0.333333333	0.833333333	0.666666667	1	0.833333333	0.666666667	0.333333333	0.5		
36aE2L	70	1	0.833333333	1	1	0.833333333	0.833333333	0.833333333	0.833333333	0.666666667	0.833333333	0.666666667	0.666666667	0.333333333			
36aE2L	70	8	0.5	1	1	0.833333333	0.666666667	0.666666667	0.833333333	0.833333333	0.833333333	0.666666667	0.333333333				
