Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
36aF2L	2	1	0.333333333	0.833333333	1	0.666666667	0.5	0.5	0.833333333	0.833333333	0.333333333	1			
36aF2L	2	9	0.5	0.666666667	0.5	0.666666667	0.666666667	0.5	0.666666667	0.666666667	0.333333333				
36aF2L	12	2	0.5	0.5	1	0.333333333	0.333333333	0.333333333	0.5	0.666666667	0.5	0.666666667	0.6		
36aF2L	12	8	0.5	0.666666667	0.333333333	0.5	0.5	0.5	0	0.5	0.5	0.666666667	0.5		
36aF2L	22	1	0.333333333	1.166666667	0.833333333	0.5	0.166666667	0.166666667	0.333333333	0.166666667	0.5	0.166666667	0.666666667	0.5	0.666666667
36aF2L	22	9	0.5	1	0.833333333	0.5	0	0	0.166666667	0.5	0.666666667	0.5	0.5	0.5	
36aF2L	32	1	0.666666667	0.5	0.666666667	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.666666667	1	0.666666667	1
36aF2L	32	1	X	X	X	X	X	X	O	X	X	X	X	X	X
36aF2L	32	7	0.666666667	0.333333333	0.833333333	0.166666667	0.333333333	0.166666667	0	0.166666667	0.166666667	0.333333333	0.666666667	1	0.833333333
36aF2L	32	7	X	X	X	X	X	X	O	X	X	X	X	X	X
36aF2L	42	1	0.666666667	0.5	0.5	0.333333333	0.333333333	0.666666667	0.666666667	0.5	0.333333333	0.5	0.5	0.5	0.4
36aF2L	42	8	0.5	0.5	0.333333333	0.833333333	0.666666667	0.333333333	0.333333333	0.333333333	0.166666667	0.5	0.166666667	0.666666667	
36aF2L	52	2	0.333333333	0.833333333	0.333333333	0.666666667	0.5	0.333333333	0.333333333	0.5	0.333333333	0.666666667	0.5	0.25	
36aF2L	52	8	0.5	0.5	0.333333333	0.666666667	0.5	0.166666667	0.5	0.333333333	0	0.666666667	0.5	0.4	
36aF2L	62	1	0.666666667	0.833333333	0.666666667	0.333333333	0.5	0.5	0.5	0.666666667	0.5	0.333333333	0.2		
36aF2L	62	9	0.333333333	0.666666667	0.833333333	0.333333333	0.333333333	0.166666667	0.5	0.333333333	0.666666667	0.166666667	0.5		
