Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14
36aF3L	1	3	0.666666667	0.5	1	1	1.166666667	0.833333333	0.666666667	1	0.5	1				
36aF3L	1	10	0.666666667	0.666666667	1	1.166666667	1	0.833333333	0.833333333	1	0.5	0.666666667				
36aF3L	11	1	0.5	0.5	0.666666667	1	1	0.666666667	0.666666667	1	0.833333333	0.5	0.333333333			
36aF3L	11	8	0.333333333	0.333333333	0.666666667	0.833333333	0.5	0.666666667	0.666666667	0.666666667	0.833333333	0.666666667	0.666666667	1		
36aF3L	21	1	0.333333333	0.666666667	0.666666667	0.666666667	0.666666667	0.5	0.5	0.5	0.333333333	0.833333333	0.666666667	0.666666667	0.666666667	
36aF3L	21	8	0.5	0.333333333	0.833333333	0.5	0.666666667	0.5	0.666666667	0.666666667	0.666666667	0.666666667	0.833333333	0.666666667	0.333333333	
36aF3L	31	2	0.333333333	0.333333333	0.333333333	0.5	0.833333333	0.5	0.666666667	0.333333333	0.5	0.833333333	0.833333333	1	0.666666667	1
36aF3L	31	2	X	X	X	X	X	X	O	X	X	X	X	X	X	X
36aF3L	31	7	0.166666667	0.166666667	0.166666667	0.666666667	0.5	0.833333333	0.333333333	0.333333333	0.5	0.333333333	0.666666667	0.5	0.5	
36aF3L	31	7	X	X	X	X	X	X	O	X	X	X	X	X	X	
36aF3L	41	2	0.333333333	0.166666667	0.333333333	0.833333333	0.333333333	0.333333333	0.666666667	0.333333333	0.333333333	0.5	0.833333333	0.666666667	0.666666667	0
36aF3L	41	2	X	X	N	X	X	X	X	X	X	X	X	X	X	X
36aF3L	41	7	0.166666667	0.166666667	0.166666667	0.666666667	0.333333333	0.333333333	0.5	0.333333333	0.5	0.666666667	0.5	0.5	0.666666667	0.5
36aF3L	41	7	X	X	N	X	X	X	X	X	X	X	X	X	X	X
36aF3L	51	2	0.166666667	0.166666667	0	0.666666667	0.5	0.333333333	0.5	0.333333333	0.5	0.666666667	0.5	0.833333333	0.666666667	0.5
36aF3L	51	8	0	0.333333333	0.166666667	0.666666667	0.5	0.666666667	0.5	0.5	0.5	0.666666667	0.5	0.5	0.666666667	0.6
36aF3L	61	1	0.666666667	0	0.833333333	0.333333333	0.5	0.5	0.833333333	0.833333333	0.666666667	0.666666667	0.666666667	0.333333333	0.166666667	1
36aF3L	61	8	0.5	0.333333333	0.833333333	0.833333333	0.333333333	0.5	0.666666667	0.833333333	0.833333333	0.833333333	0.5	0.666666667	0.333333333	
36aF3L	71	2	0.666666667	0.666666667	0.666666667	0.833333333	0.666666667	0.666666667	0.833333333	0.666666667	0.666666667	0.833333333	0.166666667	0.666666667		
36aF3L	71	8	0.833333333	0.5	0.833333333	0.666666667	0.333333333	0.5	0.666666667	0.666666667	1	0.666666667	0			
