Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14	IL 15
36aG1L	6	1	0.333333333	1	1.333333333	1.166666667	1	0.5	0.833333333	1	0.833333333	0.5					
36aG1L	6	8	0.5	1.333333333	1.166666667	1.333333333	1	0.666666667	1	1	1	0.25					
36aG1L	16	2	0.5	1	1	1	0.666666667	0.833333333	0.666666667	1	0.666666667	0.833333333	1	0.4			
36aG1L	16	8	0.333333333	0.833333333	1	0.833333333	0.5	0.5	0.666666667	0.5	1	1	1	0.6			
36aG1L	26	1	0.5	0.666666667	0.666666667	1.333333333	0.666666667	0.166666667	0.666666667	0.5	0.166666667	0.666666667	0.666666667	0.666666667	0.833333333	1	
36aG1L	26	9	0.666666667	0.5	1	1.333333333	0.666666667	0.333333333	0.833333333	0.333333333	0.666666667	0.5	0.833333333	0.833333333	0.666666667	2	
36aG1L	36	3	0.5	0.666666667	0.333333333	1.166666667	0.833333333	0.666666667	0.5	0.333333333	0.333333333	0.833333333	0.5	0.666666667	1	1	
36aG1L	36	3	X	X	X	X	X	X	O	O	X	X	X	X	X	X	
36aG1L	36	8	0.666666667	0.5	0.5	0.666666667	0.5	0.666666667	0.5	0.5	0.333333333	0.5	0.333333333	0.833333333	0.666666667	0.666666667	1
36aG1L	36	8	X	X	X	X	X	X	O	X	X	X	X	X	X	X	X
36aG1L	46	1	0.666666667	0.5	0.833333333	0.833333333	0.333333333	0.333333333	0.333333333	0.5	0.5	0.333333333	0.5	0.5	0.833333333	0.5	2
36aG1L	46	1	X	X	N	X	X	X	X	X	X	X	X	X	X	X	X
36aG1L	46	9	0.5	0.333333333	0.833333333	0.833333333	0.666666667	0.333333333	0.333333333	0.5	0.5	0.5	0.666666667	0.833333333	0.833333333	0.833333333	
36aG1L	46	9	X	X	N	X	X	X	X	X	X	X	X	X	X	X	
36aG1L	56	1	0.5	0.833333333	1	0.333333333	0.666666667	0.5	0.5	0.5	0.333333333	0.666666667	0.666666667	0.666666667	0.666666667	0.6	
36aG1L	56	8	0.666666667	1	0.833333333	0.5	0.5	0.333333333	0.5	0.5	0.333333333	0.5	0.833333333	0.833333333	0.833333333	0.333333333	
36aG1L	66	1	0.666666667	0.333333333	0.5	0.5	0.5	0.5	0.833333333	0.5	0.666666667	0.833333333	0.666666667	0.333333333	0.4		
36aG1L	66	8	0.333333333	0.666666667	0.5	0.666666667	0.333333333	0.833333333	0.5	0.666666667	0.666666667	0.666666667	0.5	0.333333333	0.5		
