Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
36aG3L	1	1	0.166666667	0.166666667	0.333333333	0.166666667	0.166666667	0.333333333	0.333333333	0	0.5				
36aG3L	1	9	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0.166666667	1			
36aG3L	10	4	0	0.166666667	0.166666667	0	0.333333333	0.166666667	0.333333333	0.166666667	0.166666667	0	0.4		
36aG3L	10	9	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0	0.166666667	0.166666667	0.333333333	0.5	0.166666667		
36aG3L	20	1	0.166666667	0.5	1	0.166666667	0	0.166666667	0.333333333	0.166666667	0.166666667	0.5			
36aG3L	20	1	X	N	N	X	X	X	X	X	X	X			
36aG3L	20	9	0.166666667	0.166666667	1.166666667	1	0	0.166666667	0.166666667	0.166666667	0	0.166666667	0.5		
36aG3L	20	9	X	X	N	N	X	X	X	X	X	X	X		
36aG3L	30	1	0	0.166666667	0.5	0.166666667	0.166666667	0	0.166666667	0	0	0.166666667	0.5	0.333333333	
36aG3L	30	1	X	X	X	X	X	X	O	X	X	X	X	X	
36aG3L	30	7	0.5	0.333333333	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0	0	0.166666667	0.166666667	0.4	
36aG3L	30	7	X	X	X	X	X	O	O	X	X	X	X	X	
36aG3L	40	3	0	0.166666667	0.166666667	0.166666667	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.5	0	0
36aG3L	40	9	0.166666667	0.333333333	0	0.166666667	0.166666667	0	0.333333333	0.333333333	0	0.166666667	0.5	0.166666667	0.5
36aG3L	50	3	0.166666667	0.833333333	0	0	0.166666667	0.166666667	0.166666667	0.333333333	0.166666667	0.333333333	0.666666667	0.5	
36aG3L	50	9	0	0	0.333333333	0.166666667	0.333333333	0.333333333	0	0.333333333	0.166666667	0.333333333	0.166666667	0	
36aG3L	60	2	0	1	0.166666667	0	0.333333333	0.333333333	0.166666667	0.333333333	0.166666667	0.333333333	0.333333333	0.5	
36aG3L	60	7	0	0.333333333	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.166666667	0.25	
36aG3L	70	1	0.166666667	0.5	0.166666667	0.166666667	0.333333333	0.666666667	0.333333333	0.5	0.5	0.25			
36aG3L	70	7	0.166666667	0.5	0.333333333	0.166666667	0.333333333	0.333333333	0.166666667	0.5	0.333333333	0.5			
