Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
36aH1L	1	2	0.166666667	1	0.166666667	0.333333333	0.333333333	0.5	0.666666667	0.5	0.5				
36aH1L	1	8	0.833333333	0.5	0.333333333	0.333333333	0.666666667	0.833333333	0.833333333	0.666666667					
36aH1L	6	1	0.333333333	0.666666667	0.666666667	0.166666667	0.166666667	0.166666667	0.5	0.5	1	0.833333333	0.833333333		
36aH1L	6	1	X	X	N	X	X	X	X	X	X	X	X		
36aH1L	6	10	0.333333333	0.5	0.833333333	0.666666667	0.166666667	0.333333333	0.333333333	0.333333333	0.666666667	1	0.5		
36aH1L	6	10	X	X	N	X	X	X	X	X	X	X	X		
36aH1L	16	1	0.333333333	0.5	0.5	0.666666667	0.166666667	0.166666667	0.666666667	0.166666667	0.5	0.666666667	0.833333333	0.666666667	
36aH1L	16	8	0.333333333	0.5	0.5	0.833333333	0	0.166666667	0.333333333	0	0.333333333	0.666666667	0.333333333	0.666666667	
36aH1L	26	1	0.5	0.5	0.666666667	0.5	0.5	0.333333333	0.166666667	0.166666667	0.666666667	0.333333333	0.833333333	0.5	1
36aH1L	26	1	X	X	X	X	X	O	O	X	X	X	X	X	X
36aH1L	26	9	0.5	0.333333333	0.5	0.166666667	0.666666667	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0.666666667	0.666666667	
36aH1L	26	9	X	X	X	X	X	X	O	X	X	X	X	X	
36aH1L	36	1	0.5	0.333333333	0.833333333	0.166666667	0.666666667	0.333333333	0.333333333	0.5	0.333333333	0.5	0.666666667	0.333333333	0.333333333
36aH1L	36	7	0.5	0.333333333	0.5	0.5	0.5	0.333333333	0.333333333	0.166666667	0.166666667	0.5	0.333333333	0.5	0.5
36aH1L	46	4	0.333333333	0.833333333	0.666666667	0.5	0.666666667	0.333333333	0.166666667	0.333333333	0.333333333	0.333333333	0.5	0.5	
36aH1L	46	8	0.333333333	0.5	0.666666667	0.833333333	0.666666667	0.333333333	0.333333333	0.5	0.166666667	0.5	0.833333333	0.2	
36aH1L	56	1	0.666666667	0.833333333	0.333333333	0.5	0.5	0.333333333	0.666666667	0.5	0.333333333	0.833333333	0.5		
36aH1L	56	8	0.333333333	0.5	0.5	0.333333333	0.5	0.666666667	0.333333333	0.166666667	0.333333333	0.5	0.333333333		
36aH1L	66	2	0.166666667	0.166666667	0.833333333	0.666666667	0.666666667	0.5	0.333333333	0.5	0.666666667	1			
36aH1L	66	9	0.666666667	0.333333333	0.5	0.666666667	0.5	0.5	0.5	0.333333333	0.5	1			
