Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13
36bI2L	1	1	0.166666667	0.333333333	0.6	0.5	0.333333333	0.5	0.5						
36bI2L	1	9	0	0.333333333	0.166666667	0.333333333	0.333333333	0.166666667	0.333333333	0.333333333					
36bI2L	8	1	0	0.333333333	0.166666667	0.166666667	0.5	0	0.333333333	0.166666667	0.333333333	0.2			
36bI2L	8	8	0.166666667	0.5	0.5	0.333333333	0.166666667	0.333333333	0.333333333	0.5	0.166666667	0.5			
36bI2L	18	1	0	0.166666667	0.333333333	0.166666667	0	0	0.166666667	0.166666667	0.333333333	0.166666667	0.166666667	0.6	
36bI2L	18	1	X	N	N	X	X	X	X	X	X	X	X	X	
36bI2L	18	8	0.333333333	0.5	0.166666667	0.166666667	0	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0.166666667	0.5
36bI2L	18	8	X	N	N	X	X	X	X	X	X	X	X	X	X
36bI2L	28	1	0.166666667	0.333333333	0.333333333	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.2	
36bI2L	28	8	0	0.333333333	0.166666667	0.166666667	0.333333333	0.166666667	0	0.166666667	0.166666667	0.333333333	0.166666667	0	0.5
36bI2L	38	1	0.166666667	0.333333333	0.333333333	0.166666667	0.333333333	0.166666667	0.333333333	0.166666667	0	0.333333333	0.333333333	0.333333333	0.5
36bI2L	38	1	X	X	X	X	X	X	O	X	X	X	X	X	X
36bI2L	38	9	0.166666667	0.333333333	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0	0.166666667	0.333333333	0.166666667	0.5	0.6
36bI2L	38	9	X	X	X	X	X	X	O	X	X	X	X	X	X
36bI2L	48	1	0.166666667	0	0.166666667	0.166666667	0.333333333	0.166666667	0.333333333	0.166666667	0.166666667	0.166666667	0.5	0.333333333	0.2
36bI2L	48	9	0.333333333	0.333333333	0.333333333	0.166666667	0	0.166666667	0	0.166666667	0.166666667	0.166666667	0.333333333	0.166666667	0.333333333
36bI2L	58	1	0	0.166666667	0.333333333	0.166666667	0.5	0.166666667	0.166666667	0	0.166666667	0.166666667	0.333333333	0.166666667	0.333333333
36bI2L	58	8	0.166666667	0.666666667	0	0.166666667	0.166666667	0.333333333	0.166666667	0.166666667	0.333333333	0.166666667	0.5	0.5	1
36bI2L	68	1	0.166666667	0.666666667	0.333333333	0.166666667	0	0	0.166666667	0.333333333	0.333333333	0.166666667	0.25		
36bI2L	68	8	0	0.166666667	0.5	0.333333333	0.333333333	0.5	0.166666667	0.333333333	0.5	0.333333333	0.333333333		
