Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7 	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14	IL 15
36bK2L	3	1	0.333333333	0.333333333	0.333333333	0.166666667	0.333333333	0.333333333	0.333333333	0.333333333	1	0.8					
36bK2L	3	8	0.333333333	0.666666667	0.166666667	0.5	0.333333333	0.5	0.333333333	0.833333333	0.666666667	0.6					
36bK2L	13	1	0.5	0.333333333	0.5	0.333333333	0.166666667	0.166666667	0.5	0.5	0.333333333	0.833333333	1	0.5			
36bK2L	13	1	X	N	N	X	X	X	X	X	X	X	X	X			
36bK2L	13	8	0.833333333	0.5	0.666666667	0.166666667	0.333333333	0.166666667	0.166666667	0.5	0.666666667	0.833333333	0.833333333	0.75			
36bK2L	13	8	X	N	N	X	X	X	X	X	X	X	X	X			
36bK2L	23	1	0.333333333	0.333333333	0.833333333	0.666666667	0.166666667	0.333333333	0.166666667	0.333333333	0.333333333	0.666666667	0.833333333	0.666666667	0.666666667		
36bK2L	23	9	0.166666667	0.833333333	0.666666667	0.5	0.333333333	0.166666667	0.333333333	0.333333333	0.166666667	0.166666667	0.5	0.833333333	0.666666667		
36bK2L	33	2	0.166666667	0.5	0.333333333	0.166666667	0	0.166666667	0.5	0.333333333	0.333333333	0.166666667	0.5	0.666666667	0.666666667	0.5	
36bK2L	33	2	X	X	X	X	X	X	O	O	X	X	X	X	X	X	
36bK2L	33	9	0.333333333	0.666666667	0.166666667	0.333333333	0	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.666666667	0.833333333	0.666666667	0.25	
36bK2L	33	9	X	X	X	X	X	X	O	O	X	X	X	X	X	X	
36bK2L	43	1	0.166666667	0.666666667	0	0.333333333	0.333333333	0.166666667	0	0.166666667	0	0.5	0.333333333	0.5	1	0.333333333	1
36bK2L	43	8	0.166666667	0.333333333	0.5	0.5	0.333333333	0.333333333	0	0.333333333	0.333333333	0.333333333	0.666666667	0.833333333	0.833333333	1	
36bK2L	53	1	0.333333333	0.333333333	0.333333333	0.333333333	0.166666667	0.166666667	0.333333333	0.333333333	0.166666667	0.333333333	0.333333333	1	0.833333333	0.75	
36bK2L	53	8	0.666666667	0.666666667	0.166666667	0.833333333	0.166666667	0.333333333	0.166666667	0.333333333	0.333333333	0.333333333	0.5	0.666666667	0.666666667	0.75	
36bK2L	63	1	0.5	0.666666667	0.5	0.666666667	0.5	0.333333333	0	0.5	0.333333333	0.166666667	0.833333333	0.5	0.666666667	1	
36bK2L	63	8	0.666666667	0.666666667	0.333333333	0.166666667	0.5	0.166666667	0.166666667	0.333333333	0.5	0.666666667	0.833333333	0	0.333333333		
36bK2L	73	1	0.666666667	0.5	0.5	0.5	0.333333333	0.333333333	0.5	0.5	0.5	0.833333333	0.666666667	0.666666667	0.5		
36bK2L	73	8	0.666666667	0.333333333	0.666666667	0.333333333	0.333333333	0.166666667	0.166666667	0.833333333	0.5	1	0.5	1			
